provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI  2 BABAHROT,10104985,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AEACA164D2704BF0BCD
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 1 BABAHROT,10104914,SD,Negeri,-,0,0,0,0,0,12,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3EFD9DBD841213851B06
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 10 BABAHROT,10104966,SD,Negeri,-,0,0,0,1,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55AA15736901BAF21A22
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 11 BABAHROT,10104899,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDCF8C6A109F10165B58
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 12 BABAHROT,10104981,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5A78CD72B3454DAE796
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 13 BABAHROT,10104901,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FBAFEFBFCC19D824CEF
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 14 BABAHROT,10104983,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2D48F6BC71FA2EDF1EC
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 15 BABAHROT,10112964,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D563257557EE003D125
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 3 BABAHROT,10104990,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/620822703D6EA4A0CC20
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 4 BABAHROT,10104988,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E1F8009EBD693536CEC
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 5 BABAHROT,10104916,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/430B10A50EDE6A6BC589
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 6 BABAHROT,10104984,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/575091B8D12B772C9596
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 7 BABAHROT,10104918,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05E4A1D577DDF67809EF
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 8 BABAHROT,10104908,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9DEC19729040BC1612B
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SD NEGERI 9 BABAHROT,10104947,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/325E4FC76DAC77B06C1F
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMP NEGERI 1 BABAHROT,10104843,SMP,Negeri,-,0,0,0,0,0,20,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43D1F63D991ED075E3D2
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMP NEGERI 2 BABAHROT,10104850,SMP,Negeri,-,0,0,0,0,0,10,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4D9BB84688C7C06057A
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMP NEGERI 3 BABAHROT,10110527,SMP,Negeri,-,0,0,0,0,0,18,2,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4AFB806AF23EC75F7C6
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMP NEGERI 4 BABAHROT,10111374,SMP,Negeri,-,0,0,0,0,0,5,1,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC3F6AB90D6578DF7796
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMP NEGERI 5 BABAHROT,10111375,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23EA6F3C5EA035B76827
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMA NEGERI 7 ACEH BARAT DAYA,10104878,SMA,Negeri,-,0,0,0,0,0,18,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F637B5395F8F064A3DDD
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Babahrot,SMK NEGERI 5 ACEH BARAT DAYA,10110537,SMK,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A60E4FE6625C8FE1F4ED
