provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 1 TANGAN-TANGAN,10104786,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C66BB718463DFF90A53
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 10 TANGAN-TANGAN,10104900,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68EB952EECE916C9580C
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 11 TANGAN-TANGAN,10110803,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9475478A199953393419
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 12 TANGAN-TANGAN,69786521,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E549A5840FCAE21B747
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 2 TANGAN-TANGAN,10104876,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AD8EE507B64A9098F0F
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 3 TANGAN-TANGAN,10104877,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDE3022D1D0921F1C924
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 4 TANGAN-TANGAN,10104948,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/482B3BCAADB15741E07B
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 5 TANGAN-TANGAN,10104797,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C3C9E5491F5180980DB
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 6 TANGAN-TANGAN,10104958,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE2EAC51B2AA0D1E81FF
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 7 TANGAN-TANGAN,10104965,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/035B4C81C5D96B6CDAA1
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 8 TANGAN-TANGAN,10104898,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32D1CAFF8EA5E9C058BA
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SD NEGERI 9 TANGAN-TANGAN,10104980,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE1CB02C3B145ADB87F9
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SMP NEGERI 1 TANGAN-TANGAN,10104838,SMP,Negeri,-,0,0,0,0,0,24,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85CD657A9E173CB5EE02
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SMP NEGERI 2 TANGAN-TANGAN,10111377,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C41C76A766A614EB7423
Prov. Aceh,Kab. Aceh Barat Daya,Kec. Tangan-Tangan,SMA NEGERI 5 ACEH BARAT DAYA,10104847,SMA,Negeri,-,0,0,0,0,0,17,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCCC41FD930923D923A9
