provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD N COT MEURAJA,10107363,SD,Negeri,-,0,0,0,0,0,17,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD5000C661839C0F9300
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD NEGERI BLANG BINTANG,10107356,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29D092EE91338657E866
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD NEGERI COT BUKET,10100307,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0C4FB0ABD56B0DAA7AE
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD NEGERI LHOK SEUMELU,10107426,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39B9D844999116C6EA2C
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD NEGERI MEULAYO,10107433,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCEE14B91554C074512D
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SD NEGERI SIMPANG KEURAMAT,10100161,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5515B70CF2A0F2C682CB
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SDIT FAJAR HIDAYAH,10107369,SD,Swasta,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86A2024D0BFFBBAF0DC8
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMP 2 BLANG BINTANG,10107482,SMP,Negeri,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DED1D2EF176852E6A780
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMP IT AWJA,69982374,SMP,Swasta,-,0,0,0,0,0,1,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2198D8836B38CA601E04
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMP SWASTA FAJAR HIDAYAH,10107485,SMP,Swasta,-,0,0,0,0,0,4,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0BC23AC83E84E938814
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMPIT DAYAH MULIA,69989827,SMP,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32A3299130FE42B312E3
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMA NEGERI MODAL BANGSA,10100170,SMA,Negeri,23 Aug 2019 22:36:36,5,352,12,26,15,16,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5303D93DB301A705BDF7
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMA FAJAR HIDAYAH,10110790,SMA,Swasta,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E848F8D061B52B33984B
Prov. Aceh,Kab. Aceh Besar,Kec. Blang Bintang,SMK NEGERI PENERBANGAN ACEH,60729113,SMK,Negeri,-,0,0,0,0,0,16,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBDFFC67A00345207FEB
