provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD N GANI,10100290,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D53984AF1F66EE8E09F
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI 1 PAGAR AIR,10100295,SD,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7003AB192E534EE49A6E
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI 2 PAGAR AIR,10107339,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11438B2744073E18DD51
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI AJEE RAYEUK,10107352,SD,Negeri,22 Aug 2019 13:27:37,2,84,6,8,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B09E3FDA63DE74F7460E
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI ATEUK ANGGOK,10100315,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C98436252D52540721C5
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI COT MEUTIWAN,10107362,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/226C9D4AFB4413BED8F6
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI DHAM CEUKOK,10107368,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8CBB7A57C14ACAD97BC
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI DHAM LUBUK,10100306,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/767BEA6CCCC2DB905D37
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI KAYEE LEUE,10107378,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E8A9C38BEA1DF86AAFF
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI LAMJAMPOK,10107399,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43D1D99E2D61689BCACD
Prov. Aceh,Kab. Aceh Besar,Kec. Ingin Jaya,SD NEGERI LAMSAYUEN,10100154,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46E5ACD4070951ED7131
