provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD N 1 LIPAT KAJANG,10107676,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34D26068B0F656E556D2
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD N 2 LIPAT KAJANG,10107688,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38D30A91835D0BE7A72D
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD N SUKAREJO,10108159,SD,Negeri,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9671C88F4876C2F30496
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD N TUGAN,10107740,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5946ED26DEB2491E00B
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI KUTA BATU,10107708,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9580B6CD4DD2A903B81C
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD Negeri Lae Gambir,69947045,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B63E7D2524BCB53C4C47
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI LAE RIMAN,10104143,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EEB70A3521861FFD82A
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI PANGI,10107717,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/854EB6C8B930EFE33271
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI PERTABAS,10107719,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/643F1D5D23A8B05CEFA8
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI SIATAS,10108155,SD,Negeri,-,0,0,0,0,0,12,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21314FA9CFB2F66700C2
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI SILATONG,10108157,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17FF26312C390435539F
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI TUHTUHAN,10107741,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CFD9A7302F30B0376E9
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SD NEGERI UJUNG LIMUS,69979824,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6B8A98AABA65D2B702F
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SDN SIKONTANG,10108156,SD,Negeri,-,1,98,5,10,3,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48E5E5E5120A1DB4F013
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SMP N 2 SIMPANG KANAN,10108190,SMP,Negeri,-,0,0,0,0,0,9,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BE3F7139CA34FB1E26B
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SMP NEGERI 1 SIMPANG KANAN,10104074,SMP,Negeri,-,0,0,0,1,0,24,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CCDF19E6EBBE25FE19A
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SMPN 3 Simpang Kanan,10104062,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B32990BB051A3C06D8A8
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SMAN 1 SIMPANG KANAN,10104051,SMA,Negeri,-,0,0,0,0,0,18,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27698F04DFE53C5A8BA3
Prov. Aceh,Kab. Aceh Singkil,Kec. Simpang Kanan,SMKN 1 SIMPANG KANAN,69758285,SMK,Negeri,-,0,0,0,0,0,13,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7446EB34DCE2CCEC9C8
