provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 1 JAGONG JEGET,10102452,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B61F5131EA07685C390
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 2 JAGONG JEGET,10102409,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE6BE821356F730F3D25
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 3 JAGONG JEGET,10102459,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9AD6CD4B9423B77D758
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 4 JAGONG JEGET,10102421,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9060EB8B6E20064EE171
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 5 JAGONG JEGET,10102464,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4CE44F5DD577CBC81BC
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 6 JAGONG JEGET,10102191,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B992A5419E5DCA5AE21
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 7 JAGONG JEGET,10102201,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05D70384B8AD5601A37E
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SDN 8 JAGONG JEGET,10102463,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26B9085DBA29A433E6B6
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SMPN 16 TAKENGON,10102245,SMP,Negeri,-,0,0,0,0,0,14,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C0BD3A7F13FE5EEA460
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SMPN 25 TAKENGON,10102271,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1354154557585C4AB32
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SMAN 5 TAKENGON,10102261,SMA,Negeri,-,0,0,0,0,0,12,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2C23046F1896C7B464A
Prov. Aceh,Kab. Aceh Tengah,Kec. Jagong Jeget,SMKN 4 TAKENGON,10112956,SMK,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BD7691B053AE761AF4C
