provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN  TANJONG MINJEI,10101978,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/581C23F9626243A75B53
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN 1 BINTAH,10101983,SD,Negeri,-,0,0,0,0,0,17,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C676BC84F9B3BBA90291
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN BLANG AWE,10112982,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69503C4399435755CE98
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN LUENG SA,10001804,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABD75665F8B4D2CE017C
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN MADAT,10110599,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5F8BA740C2816FE11ED
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN MATANG GURU,10101820,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/296680C183ADE09D5703
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN MATANG KEUPULA DUA,10101828,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5027DF3CC70B06C13D46
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN MATANG KEUPULA LHEE,10101829,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77368C2C7EF16E9F2271
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN MEUNASAH ASAN,10101826,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B46E92A9E4816FB37567
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN PANTE BAYAM,10102119,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3914A70D1945B7FD33B7
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDN SEUNEUBOK PIDIE,10102130,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/998439A8772F5F900980
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SDIT SWASTA UMMI BABA,69986563,SD,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7E40A2A40EC10C5A79F
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SMPN 1 MADAT,10101922,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80E546E0C9D287576635
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SMPN 2 MADAT,10110382,SMP,Negeri,-,0,0,0,0,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E056B8A782A664934E03
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SMPN 3 MADAT,10111452,SMP,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19E2AB14AFA420149236
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SMAN 1 MADAT,10101907,SMA,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A92357CB3284AB282C92
Prov. Aceh,Kab. Aceh Timur,Kec. Madat,SMAN 2 MADAT,69833370,SMA,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2330EEF051A77A8FD717
