provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 1 MUARA BATU,10105822,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3A02A9CFD89ECD04B00
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 10 MUARA BATU,10101463,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9650741199BFCC35C5E1
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 11 MUARA BATU,10101443,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37929AC527786E9F5C8B
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 12 MUARA BATU,10101477,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00BB8570C7ABA43749C8
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 13 MUARA BATU,10105896,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0BCE567AFF671D84B61
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 14 MUARA BATU,10101658,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0424F0DD8E85CF48B58
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 2 MUARA BATU,10101596,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B548EA4211686927AF7C
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 3 MUARA BATU,10101613,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/313E0B250D6EEC7E5252
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 4 MUARA BATU,10106038,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F7AF3642047CB2F0DF8
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 5 MUARA BATU,10106060,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88932DFC2F08F6D550AB
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 6 MUARA BATU,10101084,SD,Negeri,-,0,0,0,0,0,14,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D5A585017E85D02523B
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 7 MUARA BATU,10106103,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DC06FAC1237302040EE
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 8 MUARA BATU,10100967,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7C257F320BE5A600906
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SD NEGERI 9 MUARA BATU,10101038,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93C6977B67CC3BF44A9B
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SMP NEGERI 1 MUARA BATU,10106198,SMP,Negeri,-,0,0,0,0,0,27,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B3922A0A02F30A3BDAA
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SMP NEGERI 2 MUARA BATU,10106220,SMP,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B63FCD2544B007DAF2F
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SMP NEGERI 3 Muara Batu,10106248,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8FB72684CD28310F50FC
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,UPTD SMP NEGERI 4 CERDAS MUARA BATU,69768186,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B4E43C3EFDA766C71BF
Prov. Aceh,Kab. Aceh Utara,Kec. Muara Batu,SMP SWASTA DARUL IHSAN,10110277,SMP,Swasta,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CE2FAF82FD82972AEB9
