provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 010099 Silau Maraja,10204807,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D427A9BF75BA9BD5294F
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 010100 Bangun Sari,10204806,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B10F43BD0FC5E7C79FC
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 010105 Sei Silau Barat,10204801,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31EAACC681D7D67DA284
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 010106 SEI SILAU BARAT,10204800,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44318C635275EF55154C
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 013842 Sei Silau Tua,10204656,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/535AD53045AC469DEADE
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 013846 Urung Pane,10203926,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/520A68552CB340E5CEF7
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 014675 Sei Silau Barat,10204014,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B6FBC495433DC462974
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 014676 Silau Maraja,10204013,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F63A850371B9AFB2E184
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 014679 Bangun Sari,10204009,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D8AD15179FA10578E4F
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 016525 URUNG PANE,10203838,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/119AD3F8D950D0736B64
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SDN 017960 Urung Pane,10204175,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89DE5FD537F2B25B7BB3
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMP NEGERI 1 SETIA JANJI,10204119,SMP,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9272998F8524A1993472
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMP NEGERI 2 SETIA JANJI SATU ATAP,10260278,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28FC4F5A3D41F9DE07FF
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMP SWASTA BINA BAKTI,10204021,SMP,Swasta,22 Aug 2019 11:05:03,1,1,1,6,1,3,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09610C0F097C5EF8318F
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMAS NUSANTARA SETIA JANJI,10259244,SMA,Swasta,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C66B66FD3D12046CBA7A
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMKN 1 SETIA JANJI,10204076,SMK,Negeri,-,0,0,0,0,0,19,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6716E0973C9982FD1DD
Prov. Sumatera Utara,Kab. Asahan,Kec. Setia Janji,SMKS BINA BAKTI,10261243,SMK,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E310F36D23E56BA2658
