provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 010079 BANGUN SARI,10204856,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60F4C7D0183BC0AB4126
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 010247 SILO LAMA,10204669,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDCC10076D047A92FB19
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 010248 LUBUK PALAS,10204668,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/687E75C1593D02435EDD
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 013863 SILO BONTO,10203944,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/102B8F323EC9BBBCCF79
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 013864 LUBUK PALAS,10203943,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5098F369AF78D5EA500E
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 014695 Bangun Sari,10203958,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77E2952888D240A0EDD4
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 014696 BANGUN SARI,10203957,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B717EC105A778394CDF2
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 014698 SILO LAMA,10203955,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D663D82FD61EB9CDA742
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 014699 SILO BARU,10203954,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/185F833C1A714CB638A4
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 015906 Lubuk Palas,10203855,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77E96A863A0E57366852
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 016533 LUBUK PALAS,10203830,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A62D3D9DE4673FB2085A
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDN 016534 Silo Bonto,10203829,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14790CF2EE47F569430F
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SD MUHAMMADIYAH BANGUN SARI,10204763,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD0F809AE1B9A3C8F5CE
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SD MUHAMMADIYAH LUBUK PALAS,10204768,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1FE6783FAD17AA870A9
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SDMUHAMMADIYAH AIR PUTIH,10204766,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FA86B1D189E11D66C26
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SMP NEGERI 1 SILAU LAUT,10204099,SMP,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8B8E8BC9389F429553A
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SMP NEGERI 2 SILAU LAUT,10259973,SMP,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53D0DDA8B5E379D5562A
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SMP Negeri 3 Satu Atap Silau Laut,10258858,SMP,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9C556D48E3E2C7311C6
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SMP SWASTA MUHAMMADIYAH 23,10261610,SMP,Swasta,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB6F8D5245D89E95C9C8
Prov. Sumatera Utara,Kab. Asahan,Kec. Silau Laut,SMK Swasta An Nimah Silau Laut,69895770,SMK,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E98ADE5765501220EE8
