provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Papua,Kab. Asmat,Kec. Akat,SD INPRES BECO,60303639,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5EF42F3727979B0E5CFF
Prov. Papua,Kab. Asmat,Kec. Akat,SD INPRES BUETKWAR,60303640,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40085E37F73D51A9439F
Prov. Papua,Kab. Asmat,Kec. Akat,SD INPRES MANEP SIMINI,60303745,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/175AD3B736264ED0B19C
Prov. Papua,Kab. Asmat,Kec. Akat,SD INPRES YUNI,60303643,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD4BFC8AEA42551DEFD4
Prov. Papua,Kab. Asmat,Kec. Akat,SD NEGERI PAU,60303635,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/236FE63918F19709F86F
Prov. Papua,Kab. Asmat,Kec. Akat,SD NEGERI PERSIAPAN UJIN AJIN,60304989,SD,Negeri,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4D007CB6448E35EA562
Prov. Papua,Kab. Asmat,Kec. Akat,SD NEGERI SESAKAM,60303642,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE91237EC381BFA8BF55
Prov. Papua,Kab. Asmat,Kec. Akat,SD PERSIAPAN NEGERI CUMNEW,60304982,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B568BA70150A747BE2C6
Prov. Papua,Kab. Asmat,Kec. Akat,SD Persiapan Negeri Fakan,69896427,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A83445091F11A2B4303E
Prov. Papua,Kab. Asmat,Kec. Akat,SD PERSIAPAN NEGERI KATEW,60304976,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB5C3449F8C7BC437A83
Prov. Papua,Kab. Asmat,Kec. Akat,SD YPPGI AYAM,60303636,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FB8F87D9DDCC00C366E
Prov. Papua,Kab. Asmat,Kec. Akat,SD YPPK AMBOREB,60303641,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8D05F748C699F1BF049
Prov. Papua,Kab. Asmat,Kec. Akat,SD YPPK SANTO MARTINUS AYAM,60303646,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C4DEEA9F83B2320F955
Prov. Papua,Kab. Asmat,Kec. Akat,SD YPPK WARSE,60303645,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4CA55A4CD963C15EAE3
Prov. Papua,Kab. Asmat,Kec. Akat,SMP NEGERI 1 AGATS,60304067,SMP,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B72DF20CF17B9FB24878
