provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES BABANG,40200183,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBDF29B0CE8767BB8CEC
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES KOKONDONG,40200283,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32C11EF49DCD7D49F48B
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES LOLANTANG,40200389,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36C6FA709169B8C3B74F
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES PALABATU 2,40200402,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39AC07B0CEE919828B08
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES PANDALUK,40200404,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09FB731B7F0972A6E6AD
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD INPRES TOI-TOI,40200347,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/098E150B2E970D454A1B
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI BALALON,40200161,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2AC9ABF1023822F1642
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI MOMOTAN,40200108,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF3858EA0ABA507E6566
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI OSAN,40200104,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C806683E17B8C0F7668
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI PALABATU I,40200119,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15C8F1C4CF2AE1C7F805
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI PIPILOGOT,40209789,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/235631C819C3367D6549
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI SABELAK,40200132,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21DA478B0982CF631D80
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI SUIT,40200239,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24D474F0D924341EAAB7
Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,Kec. Bulagi Selatan,SD NEGERI TATARANDANG,40200232,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B6F820059D57081A2B0
