provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BANTEYAN 1,20531445,SD,Negeri,21 Aug 2019 18:38:39,1,114,6,7,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E883132F14D42BCE3D36
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BANTEYAN 2,20531443,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA3D06ACE9BA475EA5BA
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BATOR 1,20531718,SD,Negeri,22 Aug 2019 22:50:02,4,333,12,12,2,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07048E2806351D46466A
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BATOR 2,20531730,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E321363BFEA07AB107DA
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BATOR 3,20531731,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8E773FE4F038CA6ED32
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BRAGANG 1,20531809,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9C90F131434D4F7DDDD
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BRAGANG 2,20531808,SD,Negeri,-,0,0,0,0,0,5,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFA665D4E249A4174FBD
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BULUKAGUNG 1,20531825,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D6A7719DE88236974F9
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BULUKAGUNG 2,20531824,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E78CC210F159D42E831F
Prov. Jawa Timur,Kab. Bangkalan,Kec. Klampis,SD NEGERI BULUKAGUNG 3,20531823,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FCD5B64F82B6DC67950
