provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 BEJI,20304600,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB3CC22BF529EACB78B4
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 BITING,20304124,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57F4B7C61891CDDFC7EC
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 CONDONGCAMPUR,20304121,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C23E831EF490DA1B49F0
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 DARMAYASA,20304546,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A080FED1F43C96B70A1
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 GIRITIRTA,20304551,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D874CB95650611F8715
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 GROGOL,20304552,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15B5F908F62B4DCEA0F0
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 KALILUNJAR,20304646,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/354048CDD85D88A99B4B
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 KARANGSARI,20304656,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5A772ED9D3E89884B17
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 PEGUNDUNGAN,20304474,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E181D665976D7281CE15
Prov. Jawa Tengah,Kab. Banjarnegara,Kec. Pejawaran,SD NEGERI 1 PEJAWARAN,20304473,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/836BBCAD77F0BA096AF3
