provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD 1 GADINGHARJO,20400150,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35259A5752B13B5ED714
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD N 2 SANDEN,20400799,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFBA4C2E6E8BB02A4940
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI 1 SANDEN,20400514,SD,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C969BFB2C1651AB5452C
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI 2 GADINGHARJO,20400135,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A51A6DACECB1717C4BC
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI BONGGALAN,20400645,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80B125EC9FB2ADDB8872
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI DAYU,20400697,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D86A335C7279819CCFE7
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI KLAGARAN,20400197,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76DF14977686E08619EA
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI PIRING,20400140,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8EC6D6B00DD28CE889B
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI ROJONITEN,20400148,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4D30ED7FF46608BFE10
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI SOROBAYAN,20400779,SD,Negeri,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1AF4DD0F4D8230FDDE7
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI TEGALSARI,20400179,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3083F0ACE8C33AB4859C
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NEGERI WULUHADEG,20400778,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD02DC3B1E4074DF1AD1
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD NGENTAK,20400261,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A9E1C173360C279B49E
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD MUH TRISIGAN,20400467,SD,Swasta,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CDE3F18CD424287ECDE
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SD MUH WONOREJO,20400475,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51DD42BFB9B3D65814D4
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SDIT ASSALAAM SANDEN,20403524,SD,Swasta,-,0,0,0,0,0,18,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBA887293DC245A129F4
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMP NEGERI 1 SANDEN,20400355,SMP,Negeri,-,0,0,0,0,0,11,4,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67311EAC3B2ADF68F26E
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMP NEGERI 2 SANDEN,20400348,SMP,Negeri,-,0,0,0,0,0,23,7,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/377FE0FB73FAE6F17105
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMP MUHAMMADIYAH SANDEN,20400323,SMP,Swasta,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D369F4F04C677E84DF9D
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMP YAYASAN PENDIDIKAN SANDEN,20400286,SMP,Swasta,-,0,0,0,0,0,4,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8630B48A7921834B87D8
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMA NEGERI 1 SANDEN,20400373,SMA,Negeri,-,0,0,0,0,0,22,8,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B23CA64A21330F6D27E
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMK NEGERI 1 SANDEN,20400433,SMK,Negeri,-,0,0,0,0,0,33,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/570569EFB9F624FB9BDE
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SMK ISLAM TERPADU AL FURQON,20409338,SMK,Swasta,26 Aug 2019 12:21:46,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C260552AC90ABDA02CD
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Sanden,SLB MARSUDI PUTRA III,20409874,SLB,Swasta,-,0,0,0,0,0,26,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68A2FBE95B3DE1D83687
