provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 KARANGTENGAH,20302018,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E39FC2F61933D61CEB4D
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 KEMUTUG KIDUL,20302781,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F9F19CF8720CD5DB897
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 KEMUTUG LOR,20302782,SD,Negeri,-,0,0,0,1,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16E34ECF24107D6B398B
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 KETENGER,20302785,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16FBCABA8A112A1D2AE0
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 PANDAK,20302727,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10827618C5C0B41D9DBD
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 1 REMPOAH,20302852,SD,Negeri,-,0,0,0,0,0,18,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD3EB3D65E70B7AA1C3D
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD N 2 KARANGTENGAH,20302665,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA8470B387222B1BA610
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD NEGERI 1 KUTASARI,20302776,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B886568F060631DBB4B
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD NEGERI 2 PANDAK,20302651,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/802F8477C0671F8952CA
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD NEGERI KALIPAGU,20302033,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DFA0B6312DF99C0C39B
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD NEGERI KARANGSALAM,20302085,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84E4A78B05D0D022D494
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SD NEGERI KEBUMEN,20302032,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EEDA1BADF0FC0A621B4
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 1 PAMIJEN,20346489,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/774F40B6AB73E200D052
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 1 PURWOSARI,20302833,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F931C13B8552E79FE84
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 2 KEMUTUG KIDUL,20302689,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6FF4E445262037D7DCE
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 2 KEMUTUGLOR,20302690,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48C15BB9043FAE12894E
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 2 KETENGER,20302693,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE231F2F1BF698A08B5F
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 2 PAMIJEN,20355454,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AF2427DCCEA1871F20F
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 3 KARANGTENGAH,20355465,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF1E3417AA09E7166AFE
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 3 KUTASARI,20301794,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B211495F35A496B7458
Prov. Jawa Tengah,Kab. Banyumas,Kec. Baturaden,SDN 4 KARANGTENGAH,20341630,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55A43F8F69BF3DACF6FB
