provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 1 DUKUHWALUH,20302367,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1BF0FB56C75F6512A67
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 1 LINGGASARI,20302718,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FCB8A34E1B23C70E74C
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 1 SAMBENG KULON,20302864,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7C9B912A407DB36DA5C
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 2 DUKUHWALUH,20302620,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD2257FA6525E63CB6D5
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 2 PLIKEN,20301656,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C0DE16D26184CF951F3
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 3 DUKUH WALUH,20301838,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9FED5B7C275CE583761
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 3 PLIKEN,20301561,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D68BB27DCC53F7ADE5D5
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N 4 PLIKEN,20301609,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82243B2E49F8A13670C2
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD N SAMBENG WETAN,20302045,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEDAF72054FAA9077F4E
Prov. Jawa Tengah,Kab. Banyumas,Kec. Kembaran,SD NEGERI 1 BANTARWUNI,20302207,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1C492E2293D3933AA19
