provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI ANTASAN SEGERA 1,30301412,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58D98D96F0D19CB2499B
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI ANTASAN SEGERA 2,30311632,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BB4E61B5C8B244BBDDE
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI KARANG BUNGA,30301352,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E59B6B83272C1AD0EB79
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI KARANG INDAH,30301354,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C636F03F27415C153840
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI LOKRAWA,30300954,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2792D85CCEFCD8542C53
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI PANTAI HAMBAWANG,30300955,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8AB6CB7A8D7647690C7C
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI PUNTIK DALAM,30300958,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F84BC8EC47E98C78AF98
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI PUNTIK LUAR 1,30300959,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C54A92901FC3381AE54
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI PUNTIK LUAR 2,30300960,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C35229F0C869964F3DD
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI PUNTIK TENGAH,30300961,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F8B6FDCDF98C30D6146
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI SUNGAI RAMANIA,30300916,SD,Negeri,23 Aug 2019 05:11:18,2,78,6,6,3,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FA9F176B08FA1D98AA4
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI TABING RIMBAH 1,30301056,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04AEBC3DA0B55AF9FBD9
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI TABING RIMBAH 2,30301057,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2246CC929A3D0B2AC34E
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI TANIPAH 1,30301068,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/372116960C703F2EDCA0
Prov. Kalimantan Selatan,Kab. Barito Kuala,Kec. Mandastana,SD NEGERI TANIPAH 2,30301082,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF211B3AC34A77CF9904
