provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI 1 TAMPA,30202472,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD088C52B0D46E6E5A78
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI 3 TAMPA,30202536,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F0A6CD50D9A64969DF7
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI 4 TAMPA,30202543,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13F8E9A59107173F852D
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI 5 TAMPA,30202549,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A949FAED1A0F9C9C0669
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI BANTAI NAPU,30202513,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/043F32C28460D89FBCE6
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI GANDRUNG,30202521,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF5471044C6A8C095FA3
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI JAGAR,30202401,SD,Negeri,22 Aug 2019 22:58:55,3,29,6,8,3,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04C03F3DE3152EE9DA0F
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI KALAMUS,30202405,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19718F9EEE99B0C8FA8F
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI PADANG RUNGGU,30202382,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2354D2D3EE54881CBF38
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI PAKU BETO,30202383,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B17D7A040720F67542C
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI PANGKAN,30202392,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67503F5C65FB2E5AAE54
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI PATUNG,30202391,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36F5C7D492BF20915086
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI SIMPANG BINGKUANG,30202446,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9998A9F077861A256BFF
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SD NEGERI TANGE LANDA,30202440,SD,Negeri,23 Aug 2019 23:12:41,6,16,6,8,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F802C4A76FAAEB61D948
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SMP NEGERI 1 PAKU,30202434,SMP,Negeri,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77524C399983A6BC51D5
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SMP NEGERI 2 PAKU,30202432,SMP,Negeri,-,0,0,0,0,0,11,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3D02999D9BA45F2FAF5
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SMAN 1 PAKU,30202438,SMA,Negeri,23 Aug 2019 19:27:03,6,250,10,23,7,12,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52DAD8DC5ECCDEC48C7A
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Paku,SMKN PAKU,69756255,SMK,Negeri,-,0,0,0,0,0,8,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92CA83795E7C283E74CF
