provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 001 BENGKULU UTARA,10700192,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F195E18000FF8737A8F5
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 002 BENGKULU UTARA,10700108,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F98BD45157FEE448607C
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 003 BENGKULU UTARA,10700473,SD,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B09CDD101D6FD635B8DF
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 004 BENGKULU UTARA,10700328,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F36D1F4B063F1084CE1
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 005 BENGKULU UTARA,10700482,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DA0129DCE3A5FBD4180
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 006 BENGKULU UTARA,10700504,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2BD3073B419699AD643
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 007 BENGKULU UTARA,10700483,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC6FB943FDBAB7CA7314
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 008 BENGKULU UTARA,10700431,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D04AABF65B9D8242C47
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 009 BENGKULU UTARA,10702942,SD,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F92C6CD33DDACC29B71E
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 010 BENGKULU UTARA,10700201,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A538933F63691C60BD1
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 011 BENGKULU UTARA,10702941,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB55A837E5B38E5860E8
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 012 BENGKULU UTARA,10700118,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5418EF89D3AC56E7BF9
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 013 BENGKULU UTARA  ,10700113,SD,Negeri,-,0,0,0,0,0,16,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BF8FEF0C4070F2CB8A9
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 014 BENGKULU UTARA,10700101,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEF1088C10A21F2748B3
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 015 BENGKULU UTARA,10700103,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFCF467A6A9A87BE3051
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDN 016 BENGKULU UTARA,10703070,SD,Negeri,-,0,0,0,0,0,13,3,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEA16AFB1DD0A87721B3
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SD IT DARUL FIKRI ARGA MAKMUR,10703044,SD,Swasta,-,0,0,0,0,0,28,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9312673F785A3EC27BAA
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SD MUHAMMADIYAH ARGA MAKMUR,10702940,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C63930E0A4D735F12D7F
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SDIT Semarak Arga Makmur,69978574,SD,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A077103F882ED1CC2CAC
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPN 01 BENGKULU UTARA,10700307,SMP,Negeri,26 Aug 2019 21:37:28,0,0,0,0,0,30,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1F4103B0885EC381C63
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPN 02 BENGKULU UTARA,10700221,SMP,Negeri,-,0,0,0,0,0,22,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D64783766950FF5B382
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPN 03 BENGKULU UTARA,10700218,SMP,Negeri,-,0,0,0,0,0,14,1,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/730749CB7B8989897AE0
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPN 04 BENGKULU UTARA,10700237,SMP,Negeri,24 Jul 2019 14:01:56,0,0,0,0,0,8,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17E737BA47B424DB7F64
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPN 05 BENGKULU UTARA,10702909,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6B14041396FAA5864B6
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPS IT DARUL FIKRI,69772607,SMP,Swasta,-,0,0,0,0,0,12,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D562305D582168C1C87F
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMPS MUHAMMADIYAH ,10702914,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5885DC7037717F6C5DEB
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMAN 1 BENGKULU UTARA,10700286,SMA,Negeri,-,0,0,0,0,0,28,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/571A05085F8E12512DEB
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMAN 2 BENGKULU UTARA,10702983,SMA,Negeri,26 Aug 2019 12:19:18,0,0,0,0,0,23,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77C351D1C00982991012
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMAS MUHAMMADIYAH,10700300,SMA,Swasta,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C5210782050C2775F3F
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMAS PGRI ARGA MAKMUR,10703004,SMA,Swasta,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/500F4ADEFF7E38682230
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMKN 1 BENGKULU UTARA,10700258,SMK,Negeri,-,0,0,0,0,0,24,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/916381338E1CDEC860DC
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMKN 2 BENGKULU UTARA,10700287,SMK,Negeri,-,0,0,0,0,0,31,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D1376E3F92D4CF79220
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SMKIT DARUL FIKRI,69966532,SMK,Swasta,-,0,0,0,0,0,5,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FADE9E284DAE030B162E
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Arga Makmur,SLBN 1  BENGKULU UTARA,10700330,SLB,Negeri,-,0,0,0,0,0,41,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AE47E1C75CDD8D85CD1
