provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 027 BENGKULU UTARA,10700492,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77C7140354544CCC4B31
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 028 BENGKULU UTARA,10702943,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51184805160A38A37F26
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 029 BENGKULU UTARA,10700350,SD,Negeri,23 Aug 2019 22:47:47,1,233,9,10,1,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DC351EAE66357C3B69E
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 030 BENGKULU UTARA,10700342,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CA5825DD394EC5EF35D
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 031 BENGKULU UTARA,69863210,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2CC4E086E4879345F91
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 032 BENGKULU UTARA,10700476,SD,Negeri,26 Aug 2019 23:35:08,1,77,6,10,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D93A24D4E879892733BB
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 033 BENGKULU UTARA,10700162,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97449CDD6472DE55A663
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 034 BENGKULU UTARA,10700203,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/009AAC3A6141F4EF3B79
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 035 BENGKULU UTARA,10700421,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4559FA9C092406B6809E
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SDN 036 BENGKULU UTARA,10700100,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A10694E214A0726372FF
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SMPN 10 BENGKULU UTARA,10700209,SMP,Negeri,-,0,0,0,0,0,23,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/049F2A1E9A93840C0788
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SMPN 11 BENGKULU UTARA,10702898,SMP,Negeri,-,0,0,0,0,0,4,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC95A45D36AB665033B6
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SMPN 12 BENGKULU UTARA,69860510,SMP,Negeri,-,0,0,0,0,0,3,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/228BF4759ACE6C0431CE
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Kerkap,SMAN 4 BENGKULU UTARA,10700268,SMA,Negeri,-,0,0,0,0,0,22,6,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF60A05E6B52C564F57E
