provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD INPRES SARWA BIAK BARAT,60300378,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/944FBD300DBD45404627
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD INPRES WOMBRISAUW,60300391,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A54319577BD426F659E9
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD NEGERI NAPDORI BIAK BARAT,60300374,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A0F256F4A86827EA68E
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD ADVENT YENBEPIOPER,60300410,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6506DF86E719827305B4
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD YPK ADADIKAM,60300463,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4138758ADDC81B32755C
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD YPK AMPOMBUKOR,60300472,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A6D8A652345ED78F698
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD YPK MANSURBABO,60300452,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D06004838395F2C3CE3
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SD YPK ORKDORI BIAK BARAT,60300375,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB594431A18641739BB9
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SMP NEGERI 2 BIAK BARAT,60300338,SMP,Negeri,23 Aug 2019 18:58:17,1,67,3,9,1,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB3D8A27126093E3BFE8
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SMP NEGERI 3 BIAK BARAT,60300342,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D783C0EEC0676A113EDF
Prov. Papua,Kab. Biak Numfor,Kec. Swandiwe,SMA NEGERI SWANDIWE,69967897,SMA,Negeri,-,0,0,0,0,0,4,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84E6B73446CD7AEF8B6E
