provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI BANGSRI 01,20515108,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E092B20D68572B1773C
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI BANGSRI 02,20515125,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2DEAC12D3F3BFF73657
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI BANGSRI 03,20515124,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB4C3A66677EE662C952
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI DAYU 01,20515165,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6CFEC9778E26C568CD7
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI DAYU 02,20515164,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/884C21DA96CEB22529CF
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI DAYU 04,20515163,SD,Negeri,22 Aug 2019 20:07:42,1,97,6,5,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/568F30272CA331BE97DF
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI JIWUT 01,20514981,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B03BA28FECA091416A3
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI JIWUT 03,20514980,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14DBBA4F9A459570FBFA
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KEDAWUNG 01,20515049,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BE06D4A72B847AEEE6F
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KEDAWUNG 02,20515048,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8C87204A2DAA0C1E49E
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KEDAWUNG 03,20515047,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8CC05D6A1BCA48ADFDC
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KEMLOKO 01,20515001,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBCEF8EA8EE33E87EF4E
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KEMLOKO 02,20514998,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/866C1F42143DF5089800
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI KRENCENG 01,20515013,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C12F33278EF4A9260ED
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI MODANGAN 01,20514263,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/872FEA82E2BCB92AF99D
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI MODANGAN 02,20514262,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32A56011731D8D2D464A
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI MODANGAN 03,20514261,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D4973763F2B9271C4E2
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI MODANGAN 04,20514260,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A135FD4153D899124AA
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI MODANGAN 05,20514259,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/257B6A85F7AA6FE5A172
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI NGLEGOK 01,20514215,SD,Negeri,-,0,0,0,0,0,17,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8362785AEB127339943A
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI NGLEGOK 02,20514197,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/213DB1CE8BB84C8EF0EA
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI NGLEGOK 05,20514317,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E099C78465E9A053A89
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI NGORAN 01,20514316,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F694455712F180B0DB8
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI NGORAN 02,20514315,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73D3407F1081CAAA3486
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI PENATARAN 01,20514271,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF8F589B9B4A655A7159
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI PENATARAN 02,20514270,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8932F723EC0CBFF2F66
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI PENATARAN 03,20514269,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D61F2EDC7826B148EB6
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI PENATARAN 04,20514284,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B60366F8A6938923257
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI PENATARAN 06,20514285,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5ED8D049DFB70156DDE
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI SUMBERASRI 01,20514544,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EBDB2C17F3669CA3EEA
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI SUMBERASRI 02,20514543,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D424B3D9572AFFAD840B
Prov. Jawa Timur,Kab. Blitar,Kec. Nglegok,UPT SD NEGERI SUMBERASRI 03,20514542,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F18130D1DC560D741ED
