provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BANDUNGREJO I NGASEM,20540433,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C4A642AE976F56DE16C
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BANDUNGREJO II NGASEM,20540434,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6756A02113942E290C8
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BARENG I NGASEM,20540448,SD,Negeri,22 Aug 2019 14:03:08,3,135,6,3,2,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E62ABD94568A7B15772D
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BARENG II NGASEM,20540451,SD,Negeri,22 Aug 2019 13:01:00,4,114,6,6,2,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5311F00E761A7EF22013
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BUTOH I NGASEM,20540510,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5A4B78C89077537CAC8
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI BUTOH II NGASEM,20540511,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/566452A01D72D93F5C0B
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI DUKOHKIDUL NGASEM,20540546,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6D46E805D1C164DB6C1
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI JAMPET I NGASEM,20540587,SD,Negeri,22 Aug 2019 14:17:58,2,58,6,8,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E34386F8A4E16353241
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI JELU I NGASEM,20540600,SD,Negeri,23 Aug 2019 09:58:06,2,62,6,4,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3694BACF7C66BAD1E618
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI JELU II NGASEM,20540601,SD,Negeri,23 Aug 2019 10:59:37,3,76,6,4,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CEDC7C895BE1DF3475A
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI KOLONG I NGASEM,20540715,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7152E483985BA2EF7BFB
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI KOLONG II NGASEM,20540716,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9D012D16E1420692249
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI MEDIYUNAN I NGASEM,20540755,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3669115C4369DCE20B8C
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI MEDIYUNAN II NGASEM,20540756,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEF6223E5AE7590D2E47
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI NGADILUWIH NGASEM,20540806,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7405BC01007F8EA3312
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI NGANTRU NGASEM,20540819,SD,Negeri,22 Aug 2019 14:03:22,4,156,6,11,1,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9DB788908B6AED9AF44
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI NGASEM I NGASEM,20540820,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2731B76C03FF450E56D4
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI NGASEM III NGASEM,20540822,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F96644B28ECC2B7093D3
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngasem,SD NEGERI NGASEM IV NGASEM,20540823,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFEACD2FEC961273E1F2
