provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI BANCER I NGRAHO,20540431,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31D65A52D56068CA08C0
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI BLIMBINGGEDE I NGRAHO,20540478,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EE2A06AA69F87AF8D6B
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI JUMOK I NGRAHO,20540607,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57E99A8AE1BB33D77CDF
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI JUMOK II NGRAHO,20540608,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A3836625040CD449C48
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI JUMOK III NGRAHO,20540609,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFC0E93F4700091F1204
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI KALIREJO I NGRAHO,20540625,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA10CF06921156E7B913
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI KALIREJO II NGRAHO,20540626,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B59DE4A83780E247368
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI KALIREJO III NGRAHO,20540627,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/137D3CD88C018E242D3F
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI KLEMPUN NGRAHO,20540707,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F48EFBB6C4A73BF2153A
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI LUWIHAJI 2 NGRAHO,20540735,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EB918F41B3D135D4715
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI LUWIHAJI I NGRAHO,20540734,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99B407BC08699590B62F
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI LUWIHAJI III NGRAHO,20540736,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60E686BA99F5EF2B95A0
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI MOJOREJO I NGRAHO,20540783,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B001BF4CF31D83B8F354
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI MOJOREJO II NGRAHO,20540784,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDA5B8F5711CBE12E0C0
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGANTI I NGRAHO,20540814,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98FAB8D3223DD367FAA2
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGANTI II NGRAHO,20540815,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF7631F6EF88AB5AAD46
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGANTI III NGRAHO,20540816,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1134C50899346183C1F8
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGANTI IV NGRAHO,20540817,SD,Negeri,23 Aug 2019 17:42:04,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E93EA36C207CD1B1830
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGANTI V NGRAHO,20540818,SD,Negeri,23 Aug 2019 17:22:28,5,80,6,6,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDAC32C369445C2607DC
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI NGRAHO,20540846,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D9073E64C255E6FF659
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI PANDAN II NGRAHO,20540894,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E9FB4CC2B39662BA6D0
Prov. Jawa Timur,Kab. Bojonegoro,Kec. Ngraho,SD NEGERI PAYAMAN I NGRAHO,20540908,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B988F1494399D45FC24C
