provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 BATULINTIK,40100105,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02094335A29B6157C04F
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 BINTAUNA,40100560,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC40E0855774231B0804
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 BINTAUNA PANTAI,40100561,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/283918DD21E999F08833
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 BUNONG,40100710,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C529D426FB439A30BDC
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 HUNTUK,40100103,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E04577D9D160CE965DF
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 KOPI,40100639,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC2CAA581056B3D2897F
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 KUHANGA,40100112,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B794D30E941B71DE503A
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD Negeri 1 Minanga,40100671,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98A7CD1B4CA2BB3553BB
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD NEGERI 1 PADANG,40100670,SD,Negeri,-,0,0,0,2,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/247EEFE70C4993451D39
Prov. Sulawesi Utara,Kab. Bolaang Mongondow Utara,Kec. Bintauna,SD Negeri 1 Padang Barat,69965080,SD,Negeri,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B2EABB591C24D6FD078
