provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN BENDOARUM 1,20522446,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A04BD9133E786496F49
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN BENDOARUM 2,20522442,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/412DB08CD14F23160988
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN JUMPONG,20522157,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7841FB7864667F2A7AF8
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN LOMBOK KULON 1,20521622,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DCAEAB8EE0DC3FD040D
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN LOMBOK KULON 2,20521621,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B8B0475489BCD0A90AB
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN LOMBOK KULON 3,20521620,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEB6FA6BF349171968F1
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN PASAREJO 1,20521654,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/703C7E3C137DB862A716
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN PELALANGAN,20522443,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48D17CD08D523ABF0130
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN TANGSIL WETAN 2,20521899,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46618369572030DD4ACE
Prov. Jawa Timur,Kab. Bondowoso,Kec. Wonosari,SDN TRAKTAKAN 1,20521874,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8FA6392A1F858F2D416
