provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BATURSARI 02,20327347,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6108AE4C3CE06D43AAE2
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BATURSARI 03,20327348,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0597286C8C8DB6889356
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BENDA 01,20327349,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26568AE6FCDC15FF1D08
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BENDA 02,20327350,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BE2A2923161C444AFD1
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BENDA 03,20327341,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BC14425D084AAD00CDB
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BUNIWAH 01,20327269,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7499E5BDD63CC12C8700
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BUNIWAH 02,20327352,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99F7B5C2A4224363FF0D
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI BUNIWAH 03,20327394,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22C2582816191662AA87
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI DAWUHAN 01,20327375,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6861D7671EDDA9976EAF
Prov. Jawa Tengah,Kab. Brebes,Kec. Sirampog,SD NEGERI DAWUHAN 02,20327376,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBA3734945378E24028E
