provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 1 LAKEA ,40202057,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/030E89D72276032E60FF
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 2 LAKEA ,40202073,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5625A7A39518A6AC1859
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 3 LAKEA,40202144,SD,Negeri,20 Aug 2019 17:29:40,1,155,6,9,3,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6684B15AC0D1A30C790E
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 5 LAKEA,40202134,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/956B071738803AE2E6AD
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 6 LAKEA ,40202053,SD,Negeri,-,0,0,0,1,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27463C90B27A1AA390CB
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 7 LAKEA ,40202140,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3ECAD577B1D9DB58674C
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SD NEGERI 8 LAKEA,40202113,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1417812FDF87DD52AE25
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SDN 4 LAKEA,40202149,SD,Negeri,-,0,0,0,1,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F29A3FA8164B69E364B
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMP NEGERI 1 LAKEA,40202010,SMP,Negeri,-,0,0,0,3,2,19,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/006157BE0E30C4B9D987
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMP NEGERI 4 LAKEA,69959133,SMP,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5733859D71F8D2080B8
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMPN 2 LAKEASATAP LAKUAN BUOL,40204613,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F99291BAADADC5F6EFE
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMPN 3 LAKEASATAP BUKAAN,40206681,SMP,Negeri,-,0,0,0,1,1,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF37B1EB413644502190
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMP MUHAMMADIYAH LAKEA,40202011,SMP,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6560EF6D724AB1E5759F
Prov. Sulawesi Tengah,Kab. Buol,Kec. Lakea,SMAN 1 LAKEA,40202046,SMA,Negeri,-,0,0,0,0,0,14,5,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BFFDBEADDE88C4490F3
