provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 BIRA,40403820,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A09440727C31E71BFF5
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 EE RINERE,40403822,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94173A2E441AD1AA73C9
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 LAMOAHI,40403827,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77F980CC5A12454E87A5
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 LANOSANGIA,40403856,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4A5D8A17F0C5437E357
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 LELAMO,40403824,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/491DD35F03FEEB081EF2
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 PETETEAA,40404855,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4187BF27FABFE50EE365
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 TOROMBIA,40404925,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA14F8EEA7004C49DE13
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 WAMBOULE,40403841,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C9FED472AC836C18E14
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SD NEGERI 1 WAODE BURI,40403810,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38CBBFD2B089137B418A
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SDN 1 PEBAOA,40403823,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFBE75FC9CF3E78AEF8F
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP NEGERI 1 KULISUSU UTARA,40403863,SMP,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFDE99FE1E7E608F4D32
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP NEGERI 2 KULISUSU UTARA,40403868,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A97D1A2DBE6A534AD2A
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP Satap SMPN 1 KULISUSU UTARA,40404877,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A6650A489C153E59E93
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP SATAP SMPN 2 KULISUSU UTARA,40404972,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD826BD3C1BEEF4C0DC2
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP SATAP SMPN 3 KULISUSU UTARA,40404973,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6089EFF10B44F122ED7C
Prov. Sulawesi Tenggara,Kab. Buton Utara,Kec. Kulisusu Utara,SMP SATAP SMPN 4 KULISUSU UTARA,40404974,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFAFF1E64A97B283F96D
