provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 1 BEBER,20253033,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68B9E82298F3E9E8AD46
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 1 CIMARAGAS,20251980,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5E3B51F57281B20A0F3
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 1 RAKSABAYA,20252436,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38170DCB3395D7D83E9F
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 2 BEBER,20252426,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D79B03057511C7CF5F1
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 2 CIMARAGAS,20252427,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BC052C3DC38FF7A6AB7
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 2 RAKSABAYA,20211453,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F7789C0F3308530949E
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 3 BEBER,20252428,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED7CAFB2197C491C448F
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 3 RAKSABAYA,20211298,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60A5B6FE5F85D9ECB120
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 4 BEBER,20252431,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7827E83E6856AF64A399
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SD NEGERI 4 RAKSABAYA,20211692,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1535C65025D794B97472
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SDN 1 BOJONGMALANG,20212574,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB479FF02A0E1763C5F2
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SDN 3 CIMARAGAS,20252429,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA9EB67984E599FDE03D
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SMP NEGERI 1 CIMARAGAS,20211638,SMP,Negeri,-,0,0,0,0,0,22,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A280C0CF22217AB9C1CC
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SMP ISLAM TERPADU MAGNASHOFA,69973315,SMP,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B41B17DD13969F3D7B0
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SMAN 1 CIMARAGAS,20252287,SMA,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C79522B114A5AF2A83F
Prov. Jawa Barat,Kab. Ciamis,Kec. Cimaragas,SMK MA ARIF NU TARBIYATUL HUDA CIMARAGAS,69920674,SMK,Swasta,-,0,0,0,0,0,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/383DE5A56998A9645702
