provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI  CISALAK,20271284,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25809AA06C7C970F7613
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI  GIRIASIH BHAYANGKARA,69883601,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62B554B6F83B047998B0
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI BABAKAN,20204323,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38DDEBE9F45CF4303F63
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI BANGGA,20204350,SD,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3EF5795A3B204F0DAB1
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI BOJONGKASIH,20204268,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1277EDDC4F1678C85A1
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI BUNIJAYA,69786218,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD5C6B13BE22552DC9FE
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI BUNIMEKAR,20204870,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/014BA0A94C34FA3FBE5B
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI CAMPAKAWARNA,20204912,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/588EDB372359A15FA450
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI CIDOMBA,20204842,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B16E7B4037E8EFB19DAA
Prov. Jawa Barat,Kab. Cianjur,Kec. Cikadu,SD NEGERI CIGERENEM,20204844,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C156E323BB3A45F4BB7
