provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI PANIKEL 01 KAMPUNG LAUT,20339045,SD,Negeri,23 Aug 2019 20:55:37,5,165,6,6,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/160E7FE39F92BCBF2DF9
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI PANIKEL 02 KAMPUNG LAUT,20339046,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC6FC3C6AE4675B05432
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI PANIKEL 03 KAMPUNG LAUT,20339047,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/963D1BA4DA32518DBE3F
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGALANG 01 KAMPUNG LAUT,20339048,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BE60ADB28867BB93269
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGALANG 02 KAMPUNG LAUT,20339049,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D199CB38B2C1290B3E41
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGALANG 03 KAMPUNG LAUT,20339050,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D58084E3CBBD79B18DF
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGGAGAK 01 KAMPUNG LAUT,20339051,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99228BB21CDF253B3DA7
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGGAGAK 02 KAMPUNG LAUT,20362562,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/602BDB81095A1C2B498F
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SD NEGERI UJUNGGAGAK 03 KAMPUNG LAUT,20339052,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EC634F379D0D2518AAD
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SMP NEGERI  1 SATU ATAP KAMPUNG LAUT,20350709,SMP,Negeri,22 Aug 2019 23:26:48,5,197,8,10,1,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4368928092234E1B12F2
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SMP NEGERI  2 KAMPUNG LAUT,20338712,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB9F06885A5DE12A9812
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SMP NEGERI 1 KAMPUNG LAUT,20338488,SMP,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7820283D064161E476F0
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SMP MA`ARIF NU 1 KAMPUNGLAUT,69900766,SMP,Swasta,22 Aug 2019 04:00:21,1,90,3,8,3,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F96FC82A98954A3E4E38
Prov. Jawa Tengah,Kab. Cilacap,Kec. Kampung Laut,SMA NEGERI 1 KAMPUNG LAUT,20300721,SMA,Negeri,-,0,0,0,0,0,11,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEFA3FCC484939A0EFAF
