provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJAREJA 01 NUSAWUNGU,20341257,SD,Negeri,23 Aug 2019 18:24:34,2,107,6,4,1,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EC5FDA5784DDE04D800
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJAREJA 02 NUSAWUNGU,20341258,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1A90D309DC3B25EDCBA
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJAREJA 03 NUSAWUNGU,20341259,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83C3A806FE13AD5D3753
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARSARI 01 NUSAWUNGU,20300910,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D1E07487527879FD40A
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARSARI 02 NUSAWUNGU,20300909,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F63ADD2754B701E18F24
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARSARI 03 NUSAWUNGU,20341255,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC39C92AD2497C43C4FF
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARWARU 01 NUSAWUNGU,20300908,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8867BC097F3DEA2502D
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARWARU 02 NUSAWUNGU,20300907,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45E8F4B0E77E07E4112D
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARWARU 03 NUSAWUNGU,20300906,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13A3656975078027859E
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI BANJARWARU 04 NUSAWUNGU,20300879,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/617D9E12BF91D19EC227
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI DANASRI 01 NUSAWUNGU,20301492,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4D0906889D824DB748E
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI DANASRI 02 NUSAWUNGU,20301493,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55134551431800684BA8
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI DANASRI 04 NUSAWUNGU,20301494,SD,Negeri,22 Aug 2019 20:19:54,6,68,6,7,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5AA02D261FAA78389352
Prov. Jawa Tengah,Kab. Cilacap,Kec. Nusawungu,SD NEGERI DANASRI KIDUL 01 NUSAWUNGU,20301505,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2A108D5DB5F51C1F931
