provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI BULUPAYUNG 01 PATIMUAN,20301402,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B93D59DBC0C7A3E871FB
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI BULUPAYUNG 02 PATIMUAN,20301400,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE74D0E29E2C592E2E90
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI BULUPAYUNG 03 PATIMUAN,20301399,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/572D31A7368120AC6827
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI CIMRUTU 01 PATIMUAN,20301384,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/000E5D5DF2ABE43B138A
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI CINYAWANG 01 PATIMUAN,20301379,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A2576EA105273A5AF95
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI CINYAWANG 02 PATIMUAN,20301378,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7B8643F585DC4F3128B
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI CINYAWANG 03 PATIMUAN,20301377,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D99C12A1D15559B3902
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI CINYAWANG 04 PATIMUAN,20301376,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/402F3728136D0F4E85B4
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PATIMUAN 01 PATIMUAN,20300380,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE90556AD62F5DF3CAFF
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PATIMUAN 03 PATIMUAN,20300379,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E66B87B79560B4074E6
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PATIMUAN 04 PATIMUAN,20338591,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92D7C7D93B72D6253624
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PATIMUAN 05 PATIMUAN,20338592,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF1240EA544BA7CDCC31
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PURWODADI 01 PATIMUAN,20300173,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23FA0AC06A0A86E97818
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PURWODADI 02 PATIMUAN,20338593,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4080B0681E03F1254F1A
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PURWODADI 03 PATIMUAN,20300172,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A57AC02202A08AEF529
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI PURWODADI 04 PATIMUAN,20338544,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0557EC02959994AED37B
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI RAWAAPU 01 PATIMUAN,20300151,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF1AA05C2589E5B78C3F
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI RAWAAPU 02 PATIMUAN,20300150,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DDAACC7C9F9600E81CA
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI RAWAAPU 03 PATIMUAN,20300149,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9110152415C8CB33AA53
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI RAWAAPU 05 PATIMUAN,20300117,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E957A5393255C1FCD0F
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI RAWAAPU 06 PATIMUAN,20338595,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/444C05DD35E7B2400AA8
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI SIDAMUKTI 01 PATIMUAN,20338596,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DFB151C3119436CCAF4
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI SIDAMUKTI 02 PATIMUAN,20300235,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D50C0EC110D750B6E0EF
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI SIDAMUKTI 03 PATIMUAN,20338597,SD,Negeri,22 Aug 2019 16:25:44,2,84,6,7,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC01AF9CA3BE59F3F436
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD NEGERI SIDAMUKTI 04 PATIMUAN,20338598,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22D7F7085716329381A6
Prov. Jawa Tengah,Kab. Cilacap,Kec. Patimuan,SD KRISTEN PATIMUAN,20341251,SD,Swasta,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/794BC0CFA57A109847B3
