provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 01 KECAMATAN WANAREJA,20300781,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D36CF4DCD8D8EB112A36
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 02 KECAMATAN WANAREJA,20300780,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C30E02A2E20ABED6AB48
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 03 KECAMATAN WANAREJA,20300779,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1C035E4A71F1B7FA7E4
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 04 KECAMATAN WANAREJA,20300778,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED3BDF7B9E60F240B944
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 05 KECAMATAN WANAREJA,20300756,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/959F496D1DEFC055CB43
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI ADIMULYA 06 KECAMATAN WANAREJA,20300917,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/064303DA1640689EFC87
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI BANTAR 01 KECAMATAN WANAREJA,20300905,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BDC94D195D2B4BA591B
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI BANTAR 02 KECAMATAN WANAREJA,20300904,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/258EA5F8BCBB6CC968F9
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI BANTAR 04 KECAMATAN WANAREJA,20300903,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7B67CE9FF04F36DFF36
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI BANTAR 05 KECAMATAN WANAREJA,20300902,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D92B18827901924F6C2
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI BANTAR 06 KECAMATAN WANAREJA,20300901,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2C7C4B64E9ABD851ED2
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI CIGINTUNG 01 KECAMATAN WANAREJA,20301417,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0BBDA2195491A06147E
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI CILONGKRANG 01 KECAMATAN WANAREJA,20301371,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD8285974065A1123562
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI CILONGKRANG 03 KECAMATAN WANAREJA,20301372,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDA5324146C7FF361A8C
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI JAMBU 01 KECAMATAN WANAREJA,20301454,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3B2319B777CB68CDE68
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI JAMBU 02 KECAMATAN WANAREJA,20301432,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC740D7AD000893FB079
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 01 KECAMATAN WANAREJA,20300341,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/302E6506F68DCE9E518C
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 03 KECAMATAN WANAREJA,20300340,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEA7520D014002E8AC99
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 04 KECAMATAN WANAREJA,20300339,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD32C90DCB46AF7AEB70
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 05 KECAMATAN WANAREJA,20300338,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A7C985E51C2FAC99B55
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 06 KECAMATAN WANAREJA,20300337,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DA166B3CC1610CD0C51
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 07 KECAMATAN WANAREJA,20300336,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0720196CE5EC692B8DC
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI LIMBANGAN 08 KECAMATAN WANAREJA,20300335,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA02BEE70F1AEB5B1E2C
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI MADURA  01 KECAMATAN WANAREJA,20300311,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1DFD7FBC067FDCD4FCF
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI MADURA 02 KECAMATAN WANAREJA,20300310,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0404590555DBB0497047
Prov. Jawa Tengah,Kab. Cilacap,Kec. Wanareja,SD NEGERI MADURA 05 KECAMATAN WANAREJA,20300289,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D2F05234377229DBF5F
