provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 ASTANAJAPURA,20215214,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56744EAE1CCA48452997
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 BUNTET,20215178,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFC29ACBB708CA2E3167
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 JAPURA KIDUL,20215174,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52EA6C1C811434F272A8
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 JAPURABAKTI,20215245,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86F90639699F5F81A30E
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 KANCI,20215048,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3382D77FDD33DD00D4D
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 KANCIKULON,20215047,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D895036CE3E7A5DFAC28
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 KENDAL,20215147,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33701619CE018032DF30
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 MERTAPADA KULON,20215109,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A89EF5ED78062B3DEDC
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 MERTAPADA WETAN,20215108,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30511C20AD690C9F1FC2
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 MUNJUL,20244366,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8AA6F31A67A212F6DE4
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 1 SIDAMULYA,20215507,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85D90A9356BEE973784F
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 ASTANAJAPURA,20244385,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CD6CFEE3E0EBEDB7B3E
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 BUNTET,20215543,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B9A307C3449154D929C4
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 JAPURA KIDUL,20215432,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7627071D6FB894F36E3
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 KANCI,20215439,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE5D2FAEEECEC2AEE3EB
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 KANCIKULON,20215438,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A1F04976B94BB582A34
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 MERTAPADA KULON,20214675,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C8ECC82C7EE8D10C565
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 MERTAPADA WETAN,20214674,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37BCC253465EC37D1733
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 2 MUNJUL,20214670,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3964997957552DA6EF64
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 3 BUNTET,20214526,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BB183EB115EE62AE974
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 3 JAPURA KIDUL,20214493,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7C86C396A37455F363D
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD NEGERI 3 MERTAPADAKULON,20214551,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8D8605F773D7888AADF
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SD IT DARUSSALAM KANCI,69809512,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE7E205D7259BBB8C734
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SDIT KH ABDURROHMAN MAHMUD,20254002,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F6CD914473C58AA76F4
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP NEGERI 1 ASTANAJAPURA,20214866,SMP,Negeri,-,0,0,0,0,0,30,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9CF887D17352685B7FB
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP AL IKHLAS,20214812,SMP,Swasta,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41B20DC751237C58FFFF
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP AL ISHLAH SIDAMULYA,20214873,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C531BC97677F2EFE869A
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP BINA CENDEKIA ASTANAJAPURA,20258175,SMP,Swasta,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAC96CEDB9518FA97B1C
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP PGRI ASTANAJAPURA,20214787,SMP,Swasta,-,0,0,0,0,0,9,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94DB27F8CBDC7ECA252B
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMP PLUS AL MA ARIF ,20271763,SMP,Swasta,-,0,0,0,0,0,9,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68C8F829DC1A010B01F2
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMAN 1 ASTANAJAPURA,20214970,SMA,Negeri,-,0,0,0,0,0,31,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6EA8236E0E2F86350B5
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMKS BINA CENDEKIA CIREBON,69766973,SMK,Swasta,-,0,0,0,0,0,20,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/940D0C72F80423D8AAC3
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMKS MEKANIKA,20244687,SMK,Swasta,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7847CED92F24FD581603
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMKS SAMUDRA NUSANTARA CIREBON,20214822,SMK,Swasta,-,0,0,0,0,0,37,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDC9DACA35920FA86167
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMKS YALIS ASTANAJAPURA,20214817,SMK,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/828E6E5ED7C4C3716DE9
Prov. Jawa Barat,Kab. Cirebon,Kec. Astana Japura,SMKS YANUDA TAMA,69770348,SMK,Swasta,-,0,0,0,0,0,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8588B1D58D90D7EE1F38
