provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 BANDENGAN,20214897,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71B71B3636D3A807CC83
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 BANJARWANGUNAN,20215238,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAFD19918965DB680470
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 CITEMU,20215282,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE777B26E65FF9DF8EBD
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 LUWUNG,20215118,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7647336DC9B34D61CF69
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 MUNDUMESIGIT,20214896,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/159237B1CE6D0E17E8A6
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 MUNDUPESISIR,20215105,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AFD166532937F64C85B
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 PAMENGKANG,20244367,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E8117667EAD5C08E09D
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 PENPEN,20215497,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABA4111D33EE41C3B12D
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 SETUPATOK,20215509,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6329D6B8E225C9F86909
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 SINARANCANG,20215008,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E53D16E74C683B8313F7
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 SUCI,20215457,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FCB0EF07C07FBE75374
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 1 WARUDUWUR,20215002,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74EBEB2047AC3623E995
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 BANJARWANGUNAN,20244388,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1904E857193EDE6249D4
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 CITEMU,20215377,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27DC73177A8822EF7EB3
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 LUWUNG,20214684,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/841151248423F4B2C640
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 MUNDUPESISIR,20214671,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB43846CD85588E198CF
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 PAMENGKANG,20214623,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53966A517647BC0637D4
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 PENPEN,20214635,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C59D54FD11A1A1F8CC7A
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 SETUPATOK,20214750,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6970D25EBBD37AED4254
Prov. Jawa Barat,Kab. Cirebon,Kec. Mundu,SD NEGERI 2 SUCI,20244508,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14405F72C50BBA3D15CC
