provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD Lau Lebah,10261017,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E94D0590B82A391772EE
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 030313 GUNUNG SITEMBER,10203571,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43E79C981BF4A3E4C94A
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 030314 BUKIT KARO,10203561,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0444CF92EE72E0F8F0B0
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 033920 RANTE BESI,10203685,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D223D4F6F2DB813D6A44
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 034785 BATUGUNGUN,10203432,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9C9B60FB35FBF2394CB
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 035949 GUNDALING,10203389,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8ACE99547A514A9C4CA
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 035951 BULUH MENGKAL,10220587,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D6B6690F95BD6D87A2D
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI 037157 KENDET LIANG,10203411,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1C7F8DED9570B7BE8E3
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SD NEGERI LAU PENGKERUKEN,10203534,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80432826F6D84C54D136
Prov. Sumatera Utara,Kab. Dairi,Kec. Gunung Stember,SMP NEGERI 1 GUNUNG SITEMBER,10259132,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57326F90769ED89F7600
