provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 101797,10213163,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90EB5B408B02D69E88CB
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 101798 DELI TUA,10213164,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C43B586FE681EE39FDE
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 101799 DELITUA,10213165,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC1ACA8FC4D66753A029
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 101800 DELI TUA,10213166,SD,Negeri,-,0,0,0,0,0,25,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/713B37C146A718DF8E41
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 101801,10213167,SD,Negeri,-,0,0,0,0,0,15,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1A5BE07B5BAEB4BCA28
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 104213,10213284,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A923B0B075CEBBA3F3C
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 104214 DELI TUA,10213285,SD,Negeri,-,0,0,0,0,0,18,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E587CF5D3D023C98B6E3
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 105300,10213351,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93D4E78494227E5889A1
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SD NEGERI 108075 DELI TUA,10213499,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28CF40CE2CAAF8DA0DFE
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SD HARAPAN 3,10215142,SD,Swasta,-,0,0,0,0,0,19,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64ADAD298D4B785A028B
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SD KATOLIK DELI TUA,10213619,SD,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBBD0B9C95B7C8ACE7F0
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SD MASEHI DELITUA,10213621,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62A27EE4F1928ABA6CE3
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SD PUTRA BANGSA BERBUDI,69904002,SD,Swasta,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6CEFA0DDDFBD4C57B40
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SD YPI DELI TUA,10215245,SD,Swasta,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEFC7689F7B57D9F0899
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SDSINGOSARI,10215225,SD,Swasta,-,0,0,0,0,0,25,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E11FD452D4E8B62C8003
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SMP NEGERI 1 DELITUA,10213873,SMP,Negeri,-,0,0,0,0,0,16,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61C5A8E85C2464369AD7
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,UPT SPF SMP NEGERI 2 DELITUA,10213889,SMP,Negeri,-,0,0,0,0,0,24,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95F9F1658CEC2FA82F35
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP ISTIQLAL DELITUA,10200301,SMP,Swasta,-,0,0,0,0,0,21,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB901579E20DD00E4F8C
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP MASEHI DELI TUA,10213860,SMP,Swasta,-,0,0,0,0,0,18,3,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F91DB792B0FC6FD744C
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP SWASTA DELI TUA SCHOOL,69979643,SMP,Swasta,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB913795473C1FA421EA
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP SWASTA HARAPAN-3,10200315,SMP,Swasta,-,0,0,0,0,0,11,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C53117249905C00B5B2
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP SWASTA KARYA PEMBANGUNAN,10200288,SMP,Swasta,-,0,0,0,0,0,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE084D584D4917668523
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP SWASTA RK DELI MURNI,10213836,SMP,Swasta,-,0,0,0,0,0,10,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43CCDA49DEB4B582F512
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP SWASTA SINGOSARI DELITUA,10213994,SMP,Swasta,-,0,0,0,0,0,10,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B528BFDF7B5AEC212B9
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMP YPI DELI TUA,10200356,SMP,Swasta,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/279CB0FB4C257D1CA628
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAN 1 DELI TUA,10219922,SMA,Negeri,-,0,0,0,0,0,33,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/280439D64324D45EC577
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMA SWASTA DELI TUA SCHOOL,69977064,SMA,Swasta,22 Aug 2019 17:46:58,4,141,5,7,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86107E633FF0B2973CCE
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS HARAPAN 3 DELI TUA,10219919,SMA,Swasta,-,0,0,0,0,0,14,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/688BB57FFFAB19B040D0
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS ISTIQLAL DELI TUA,10200433,SMA,Swasta,-,0,0,0,0,0,16,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEBDF313C62C06812DA6
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS KARYA PEMBANGUNAN DELI TUA,10214122,SMA,Swasta,-,0,0,0,0,0,5,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2EA5C40BA90C6157B945
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS RK DELI MURNI DELI TUA,10214181,SMA,Swasta,-,0,0,0,0,0,12,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA05D3B4B746DE011729
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS SINGOSARI DELI TUA,10214167,SMA,Swasta,-,0,0,0,0,0,9,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94986B1E7398B8916286
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMAS YPI DELI DELI TUA,10219101,SMA,Swasta,23 Aug 2019 10:54:29,1,59,2,8,1,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E3B34FFC816B9C2CC51
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMK SWASTA ISTIQLAL DELITUA,10214039,SMK,Swasta,-,0,0,0,0,0,37,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA18819A3950CF041DED
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMK SWASTA SINGOSARI,10260014,SMK,Swasta,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F5EF0AD05178EFC5BD3
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMKS KARYA PEMBANGUNAN DELITUA,10214041,SMK,Swasta,23 Aug 2019 20:08:36,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A111CF304E0B18A34143
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Deli Tua,SMKS YPI DELITUA,10214071,SMK,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/063E67274EAF4F95BAE7
