provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101846 KUTA LIMBARU,10200633,SD,Negeri,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0678E6F9987741251AD4
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101847 SUKADAMAI,10212616,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/581C588B0C6F27CEB494
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101848 LAU BEKERI,10200632,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E7F1BD9D811448E8664
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101849 SUKA MAKMUR,10214816,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93D6E17C12BBDD00211A
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101850 NAMO MIRIK,10200631,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CCE77324299275B6D18
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101851,10200620,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3267A05E52CC635E9697
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101852 SUKA MAKMUR,10214817,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C2DD031FD124F9C2FA7
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101853 SUKA RENDE,10200661,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9423933E222FB77996A
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101854 SEI MENCIRIM,10200704,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AFBC6236B01911D2F1D
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101855 KUTA LIMBARU,10212619,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F42D937AB476A99AF9FE
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 101920 SILEBO LEBO,10200677,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68AB9C093AC25165CC25
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. KutaIimbaru,UPT SPF SD NEGERI 104225 PERPANDEN,10200207,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DB4F725CD4D9739FF41
