provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 102004 TIGA JUHAR,10216696,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFFAA5FD418AEC7F3E78
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 102005 DURIAN TINGGUNG,10200231,SD,Negeri,22 Aug 2019 15:00:25,1,138,6,11,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A62CD75C3E03BEFB7B03
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 102006 TIGA JUHAR,10200230,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED1B9E1500BB889AA3F0
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 104290 SIPINGGAN,10200259,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD4A92EC2BC1F3A94E4C
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 105401 NAMO LINTING,10200110,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DFF62C7CB9330F68BD1
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 105402 SIBUNGA BUNGA,10213380,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8CFC11126FA80472A37B
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 105403 TIGA JUHAR,10200118,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D7499F5D279035601BD
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 106203 TANAH GARA HULU,10200189,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A67E83E7632F5AFC07EC
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 106204 TANJUNG RAJA,10215017,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFC7F23DE64B5B515A99
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 106848 TANJUNG TIMUR,10215054,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5144B19306C58B5CF940
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 107434 RUMAH LIANG,10215080,SD,Negeri,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/500CF122CB9E8CDA43A8
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Sinembah Tnjng Muda Hulu,UPT SPF SD NEGERI 107436 RUMAH LENGO,10200398,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C6A4AFD72EC1BAF2703
