provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BANGO 1,20319849,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/555CF69CCDAF17EFE904
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BANGO 2,20319848,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32A54E22BD27CB18A08F
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BETOKAN 1,20319933,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC98BB1719140A71D6C3
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BETOKAN 2,20319932,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD50B6D3F604DE43E273
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BETOKAN 3,20319931,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/222E4383EA702D0D4D9E
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 01,20319942,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E3F6674C19BA501DFDE
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 02,20319955,SD,Negeri,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A082390F4386438C641
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 04,20319951,SD,Negeri,-,0,0,0,0,0,17,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6ED1C41E414D55BCDCF
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 05,20319950,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5271336A85ED859EDEC8
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 07,20319949,SD,Negeri,-,0,0,0,0,0,12,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/470EE3706216CF2BC3FF
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 08,20319948,SD,Negeri,-,0,0,0,0,0,6,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A15FC34C8C61AED321A1
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 09,20319947,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6891D76DD36D7BFCA019
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 10,20319943,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C11D6370EA85774E8D9
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 13,20319952,SD,Negeri,23 Aug 2019 07:41:23,4,84,6,9,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D1428E537839A3CE333
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 14,20319953,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74A0B53BB0ACBE4C79EE
Prov. Jawa Tengah,Kab. Demak,Kec. Demak,SD NEGERI BINTORO 16,20319954,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69B669EBA4C58896F53C
