provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 1 PINEMBANI,40200805,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33E99D265140773F1BE8
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 2 PINEMBANI,40200446,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB5F63F3CA8B52F3A128
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 3 PINEMBANI,40200452,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F108201D6492240DC409
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 4 PINEMBANI,40200693,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/150702ED5DA6244FDD79
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 5 PINEMBANI,40203806,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D1A3B89C8EFB422ACA0
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 6 PINEMBANI,40203804,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BF1A9AB589827AE338A
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 7 PINEMBANI,40203805,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54C4E5DADCB53A60FEA2
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SDN 8 PINEMBANI,40204396,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3561C91B1226024BF3BE
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SD BALA KESELAMATAN BAMBAKANINI,40200927,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA2ED96E0C5E1CD3786C
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SD BALA KESELAMATAN GIMPUBIA,40200898,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B941DA14A9985379CFDD
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SD BALA KESELAMATAN PALINTUMA,40200786,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77CA842342AAABFE6D20
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SD BALA KESELAMATAN TAMODO,40200800,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5509A3B1B0D8F5651C06
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SD BALA KESELAMATAN WATAMBUNE,40200796,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/308339932E90FFE020B1
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SMP NEGERI 1 PINEMBANI,40204397,SMP,Negeri,-,0,0,0,0,0,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/910F14487C756905970E
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SMPN 2 PINEMBANI,69959247,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8CBF20EABB067435A732
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SMP BALA KESELAMATAN PAKAWA,40200611,SMP,Swasta,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF83A9C3763014AE5EAA
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Pinembani,SMKN 1 PINEMBANI,69762608,SMK,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0586D484E1EA4F0065F8
