provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Cibodas,20225757,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C72B4F831D1E921E6D2
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Cikajang,20225837,SD,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8BBD396B1D257769224
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Cikandang,20225841,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95D8CA8234D6ED243E65
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Cipangramatan,20225932,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F2296F61312FB790217
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Giriawas,20226027,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D53B0A9E997D2983122
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Girijaya,20226033,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A214950F725164E7E57
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Karamatwangi,20225931,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD534E48246213758C95
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Margamulya,20226314,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59ED27BA26DAE4F62F30
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Mekarjaya,20226359,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D50F5636713B3F5326D9
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Mekarsari,20226394,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DCE4EF8518E06B66D3A
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Padasuka,20226487,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84D36BAB7A2198C09C51
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 1 Simpang,20226710,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDBBB034C685C1A55A77
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Cibodas,20225758,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31F8EA351377B597C3E8
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Cikajang,20225838,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8F25E90251D2FC337BA
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Cikandang,20225842,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/797FE73A73320F3B1FCF
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Cipangramatan,20225933,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43C7833D6B73579F86E4
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Giriawas,20226028,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20783FDC71D159156727
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Girijaya,20226035,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05501448DE2DDFAD3A7F
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Karamatwangi,20225935,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/579F98E2A068E93CDD57
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Margamulya,20226317,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50ECEED296F791977B72
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Mekarjaya,20226365,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A043D0F52A76AA726F00
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Mekarsari,20226400,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E23913502C28D287813D
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Padasuka,20226492,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1218122AF79A26AEE940
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 2 Simpang,20226712,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6D6D60D9DB34F65F2C7
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Cibodas,20225759,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D87DC22461B48EC2588B
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Cikajang,20225840,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F019D90FC202B5109E1
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Cipangramatan,20225934,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A33273B87F9FBE52612
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Giriawas,20226029,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F934DC7FB7DE7C17508B
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Margamulya,20226318,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32A3E6884C94F0785A33
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Mekarjaya,20226366,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2843CCEB84CFBB0A25CC
Prov. Jawa Barat,Kab. Garut,Kec. Cikajang,SDN 3 Mekarsari,20226407,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E88264ECBED8526F10A
