provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 1 Caringin,20225738,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5521BE1965BEC6CC2022
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 1 Cinta,20208927,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6A2D3B5C16A88A8A465
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 1 Cintamanik,20208924,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13D41C8F23C0D27275BB
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 1 Sindanggalih,20226727,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8E1A59A9777D00C1AE4
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 2 Caringin,20225739,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CEB25582AC1DF872D8C
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 2 Cinta,20225905,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F74B6FDA085B9181A081
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 2 Cintamanik,20208923,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6716BC87B2BD97F30A70
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 2 Sindanggalih,20226730,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1994C9F67952D90ADED1
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 3 Caringin,20225742,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08AF3D8B84A7F9316134
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 3 Cinta,20225906,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CE5B77DB03A0E00A1C2
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 3 Cintamanik,20208922,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12F332A19168945D6DB0
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 3 Sindanggalih,20226732,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/457F9C2B86740E09A824
Prov. Jawa Barat,Kab. Garut,Kec. Karangtengah,SDN 4 Caringin,20225743,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/644A74240B19EA01AAF7
