provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 1 Cijayana,20208933,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0278DEFAD0B6ABA1F3A3
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 1 Jagabaya,20208865,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2A40036E24BB2F412AC
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 1 Karangwangi,20208875,SD,Negeri,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43B9395C7D0C6017D1FC
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 1 Mekarmukti,20226381,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1DD63773FF6CFB8EEA6
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 1 Mekarsari,20226387,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB6973C76F387F01D2F8
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 2 Cijayana,20225833,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81B979C045B53EB6754F
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 2 Jagabaya,20208866,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D11752E9C76E2CFC4CB8
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 2 Karangwangi,20208874,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9858C401FFED89F0881C
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 2 Mekarmukti,20226384,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2C2EB1CB158A7F0B3C0
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 3 Cijayana,20225834,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F0ED5A4D80D5E554F8B
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 3 Karangwangi,20208873,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B112BDAB6311963D94E1
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SDN 3 Mekarmukti,20209004,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F66ED0136338CBE6F7D5
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SD IT AL-BANUN MEKARSARI,69932825,SD,Swasta,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FE3068030BEC618D42A
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SD IT AL-FATHONAH,69957277,SD,Swasta,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F04C6C5042AB40574877
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SD IT AL-MUSTOFA,69867952,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4052765FE325E23DC579
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMPN 1 Mekarmukti,20227422,SMP,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAD0FD8AAEBAD1386E38
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMPN 2 Mekarmukti,20268975,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8C82CF06BD714936580
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMP AL-MA SUM CIKARO,69965410,SMP,Swasta,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA7E9AB6BDA94EBB2C88
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMP PGRI MEKARMUKTI,20227413,SMP,Swasta,27 Aug 2019 07:47:02,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19E2705CA9033255EB38
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMP PLUS MEKARMUKTI,69987028,SMP,Swasta,23 Aug 2019 10:53:43,1,20,2,2,1,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F63B7F8E2A07FDC6846
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMPS IT MEKARMUKTI,69788596,SMP,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B4DC2B1D01BDBA48680
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMAN 29 GARUT,69753909,SMA,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC581E6E6D61BA1695E2
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMA ISLAM TERPADU MEKARMUKTI,69872006,SMA,Swasta,22 Aug 2019 19:11:26,2,158,6,7,2,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08143D47191640A97405
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMK BINA BHAKTI MEKARMUKTI,69899685,SMK,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8BE41C8014FB99559F39
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMK WIYATA MANDALA GARUT,69944357,SMK,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF1D25D2E5918A2F072A
Prov. Jawa Barat,Kab. Garut,Kec. Mekarmukti,SMKS MEKARMUKTI,69753550,SMK,Swasta,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A3E91F1DA8E829FDE89
