provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 DERAS,20314096,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/172A67144079C030838A
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 JUMO,20314175,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D667A51D121F6AC0D986
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 KALIMARO,20314189,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8D4AA64DC20F5F7C597
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 KARANGLANGU,20314190,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AE8F1A6E3746E1EB078
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 KEDUNGJATI,20314149,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3752AB5ECC669265EA1
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 KENTENGSARI,20314142,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8ACA13E1FAB63F4FDDEF
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 NGOMBAK,20314542,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5BC47CC76DD09FA032D
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 PADAS,20314556,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4453CC4E59AE2C281BE5
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 PANIMBO,20314551,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F496A3B8182C5939FFE7
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 PRIGI,20314502,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA16FC8F8F7F64F84B95
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 1 WATES,20314586,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E664BBDF39A79AC7FDC4
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 2 DERAS,20314492,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F70807268579BA17B3FF
Prov. Jawa Tengah,Kab. Grobogan,Kec. Kedungjati,SD NEGERI 2 JUMO,20314404,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5864C67D6FAC334C812B
