provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 105 HALMAHERA SELATAN,60201572,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A666F904796ABEF1866A
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 127 HALMAHERA SELATAN,60201431,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1A02E6A3B2A93398C81
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 142 HALMAHERA SELATAN,60201576,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/647BE900D183B00E1E3F
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 182 HALMAHERA SELATAN,60201580,SD,Negeri,22 Aug 2019 12:17:37,6,50,6,3,1,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F27D890EBAC831BCA364
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 193 HALMAHERA SELATAN,60201432,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F9DA8C79DB4282E18F7
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 27 HALMAHERA SELATAN,60201479,SD,Negeri,24 Aug 2019 00:23:37,3,94,6,6,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0582EE13D1CBB5D7B6DE
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD NEGERI 99 HALMAHERA SELATAN,60201563,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF31841B6A8EE3B35860
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SD LPM BIBINOI,69870682,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B59CB06EA0A7EBB198F7
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMP NEGERI 23 HALMAHERA SELATAN,60201616,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5B9F3B0081759D7FE96
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMP NEGERI 41 HALMAHERA SELATAN,60203318,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB865307DA9B0F57A237
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMP NEGERI 55 HALMAHERA SELATAN,60203312,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F4DF320FA8495DA0B87
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMP NURUL HASAN TAWA,69883309,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18F4EEA9E88AEBD7F715
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMA NEGERI 15 HALMAHERA SELATAN,60201672,SMA,Negeri,26 Aug 2019 06:32:27,8,85,6,7,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E97FEECF22BC92B26FA
Prov. Maluku Utara,Kab. Halmahera Selatan,Kec. Bacan Timur Tengah,SMK BPD TOMARA,60205826,SMK,Swasta,-,0,0,0,0,0,1,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A1B686945A1A9223F72
