provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD INPRES GOENG,60200219,SD,Negeri,25 Aug 2019 03:22:52,1,62,6,9,1,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/754D79F0CAB411B52F33
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD INPRES NUSLIKO,60200217,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FC911ED6ABCDD02E9B0
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD INPRES SIDANGA,60203004,SD,Negeri,23 Aug 2019 06:56:37,4,111,6,6,1,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/941D98ABD53C57485407
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD NEGERI 1 WEDA,60200212,SD,Negeri,-,0,0,0,0,0,17,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69DBE3ACA2809F6C031D
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD NEGERI 2 WEDA,60200199,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF687E91256280D31C95
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD NEGERI 3 WEDA,60202307,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A8C329161C2F0C1B1BD
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SD NEGERI 4 WEDA,60202578,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7248DA16628864B76FB
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMP NEGERI 1 HALMAHERA TENGAH,60200179,SMP,Negeri,-,0,0,0,0,0,9,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7736D70F059DDDDB0801
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMP NEGERI 21 HALMAHERA TENGAH,60202509,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EBA6A0519159BA7566E
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMP NEGERI 25 HALMAHERA TENGAH,60203604,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A61C8DF4642B27C37F7
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMAN 1 HALMAHERA TENGAH,60201143,SMA,Negeri,-,0,0,0,0,0,9,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CEAE5B12EAE0DB067AE5
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMK NEGERI 8 HALMAHERA TENGAH,69816339,SMK,Negeri,24 Aug 2019 21:34:53,8,148,15,23,1,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D3F5BF1EF83A1FABED5
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SMKN 2 HALMAHERA TENGAH,60202472,SMK,Negeri,26 Aug 2019 16:38:11,3,80,5,11,2,8,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BDAF7F4F3E9FF44AC6A
Prov. Maluku Utara,Kab. Halmahera Tengah,Kec. Weda,SLB Negeri WEDA,69962452,SLB,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/021178DB329D0EDEFF22
