provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,255 - SD NEGERI 026 PANCUR,10402146,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7517A7F0F01D12C44B97
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 001 KOTABARU RETEH,10402560,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC6D1614AC716076E34F
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 002 KOTABARU,10402534,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF5FC1BE14BC5A805D15
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 003 NUSANTARA JAYA,10404645,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A689A5A057279842F1E1
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 004 KOTA BARU RETEH,10497017,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5799095CD641052DC33D
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 005 KOTABARU SEBERIDA,10401942,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C96530DC5D8A737DA43
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 006 KOTABARU RETEH,10496824,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90CB660E1E4774A206A2
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 007 KOTABARU,10402109,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13C1C30FA9431007A43E
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 008 KUALA KERITANG,10401943,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D33FA046DD0089740EC9
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 009 KUALA LEMANG,10401977,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8D8B9FC0A631C028422
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 010 PENGALIHAN,10401989,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B58C340985CF5CA23F28
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 011 PEBENAAN KERITANG,10401850,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/980CA9E482B4D3B3A036
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 012 TELUK KELASA,10401983,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AD509A5FEEB3E4729C5
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 016 NUSANTARA JAYA,10401954,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0AD194D7F100D600C68
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 017 SENCALANG,10401947,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/866755B0DB0F1AD3449C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 018 SEBERANG PEBENAAN,10401964,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0D1BFA7C9329F27A636
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 019 KEMBANG MEKAR SARI,10401864,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/448C13698EF14D30F5B4
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 020 KOTABARU SEBERIDA,10401884,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F336F82AF21B4A260193
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 021 PENGALIHAN KERITANG,10401877,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A75EB58C11AC9D884AD8
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 022 KEMBANG MEKAR SARI,10401838,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2D5562C80BE39F74CFF
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 023 SEBERANG PEBENAAN,10496514,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/581850E8B786EACE283B
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 024 KOTABARU SEBERIDA,10402153,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6553E5AC2B4190A3856C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 025 PEBENAAN,10402116,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9D0481B9BF43AD84EF7
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 028 PENGALIHAN,10496830,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E41D26BED2785551731B
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 029 KA KERITANG,10402136,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96D7569AFEB7A2F375BA
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 030 PASAR KEMBANG,10402134,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47B49F004F9780F2A9B3
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NEGERI 037 KOTABARU RETEH,10496486,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1E2850B4F8FC0DC2F93
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDN 014 PASAR KEMBANG,10401923,SD,Negeri,-,0,0,0,0,0,9,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14EE9C41CDD66BF3050E
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDN 015 PANCUR,10404644,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFDB7063476ABA0D115E
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDN 027 NUSANTARA JAYA,10402150,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/324654130C91B9EB79EF
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDN 042 PETALONGAN,69970241,SD,Negeri,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D7AAB4C573F7A6A2027
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD 034 SEBERANG PEBENAAN,69787594,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6BFF9BB1B5BE93786D0
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD KARYA BAKTI,10496949,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6AC5E2A12A774A81FCCE
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD NUSANTARA JAYA,10402563,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A6C53F53DE79F2343AE
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD SWASTA 033 SEBERANG PEBENAAN,10496515,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A27D76B74FF31002B61
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD SWASTA 035 TELUK KELASA,10402541,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D5F2199A81F190D7A9F
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD SWASTA 039 Harapan Bunda,10497517,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C51764ACE14E35CDE419
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD SWASTA 040 Babussalam,69787593,SD,Swasta,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F3F3B3CED0004A2AAB5
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SD SWASTAS 036 Sencalang,10496396,SD,Swasta,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5743B4A7F35CEF87023F
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDS 031 SEBERANG PEBENAAN,10496407,SD,Swasta,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8620BC8462F8CA1094C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDS 032 PETALONGAN,10402549,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3142F87E30A96F4BA25C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SDS 041 DHARMA BAKTI,69755347,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55DE3FE19C8D44CED76F
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 1 ATAP Kotabaru Reteh,10494462,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2F7C1E57AAB1EFB030D
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 1 KERITANG,10402006,SMP,Negeri,-,0,0,0,0,0,17,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7843A67A5E7699EDA1E6
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 2 KERITANG,10402021,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA42A1354FF1E80AF208
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 3 KERITANG,10401998,SMP,Negeri,23 Aug 2019 11:10:39,1,146,6,14,1,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89BED9A6864A9F95C07C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 4 KERITANG,10402090,SMP,Negeri,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDEDC61BF63DF2E1B87C
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 5 KERITANG,10402086,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BD78E35769538C79E61
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI 6 KERITANG,69755348,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDC607AD06E96A212B40
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP NEGERI SATU ATAP 002 KUALA LEMANG,10494463,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0FC580A7040250258DF
Prov. Riau,Kab. Indragiri Hilir,Kec. Keritang,SMP SATU ATAP KUALA KERITANG,69755349,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C016D784B82AE0BC233
