provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD N SUKAURIP II,20215709,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/152BF053F19C74D728C0
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI BALONGAN I,20216277,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9779B6CC4BD0C02D2111
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI BALONGAN II,20216256,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C50D4DB68B2A0EC78F1
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI BALONGAN III,20216415,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E7FB0662F1A3EE06844
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI BALONGAN IV,20216394,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/164CAB9FF191A0268661
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI GELARMENDALA,20216883,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1068EB22E149251493E1
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI MAJAKERTA I,20215832,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07C27FFAE1EB88A672E1
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI MAJAKERTA II,20215849,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE96283E663ABA44F28D
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI RAWADALEM,20215665,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56C9CB02AE1767DA59FB
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR I,20215751,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5A42E1C911816248162
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR II,20215768,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D58B0B4A51FBA2A5CAC
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR III,20233712,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDB200CFE210F354DFC9
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR IV,20233713,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99C6099A6DDE7260784B
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR LOR I,20215767,SD,Negeri,22 Aug 2019 14:17:17,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FB9901A6D6663BF8D5B
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUDIMAMPIR LOR II,20233714,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C368DA8212F2B1BD4A9
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUKAREJA,20215703,SD,Negeri,22 Aug 2019 13:55:28,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48863D0C43BFB7863DB4
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI SUKAURIP I,20215692,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4C46E3CCCF504C19D60
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI TEGALSEMBADRA I,20216165,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A310857430E975FD0578
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI TEGALSEMBADRA II,20216166,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F014944847CC2AFD79F
Prov. Jawa Barat,Kab. Indramayu,Kec. Balongan,SD NEGERI TEGALURUNG I,20216161,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C60C72DD983034BFA39
