provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BANGODUA I,20216390,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89F82CFAEBF98BE36399
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BANGODUA II,20216389,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8636ED156FE10C1C0BFB
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BANGODUA III,20216387,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59AAB2F66667F9F0F55D
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BEDUYUT I,20216388,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A168E71661EEA50849A
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BEDUYUT II,20216386,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/655355EC1FED73DAB31F
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI BOJONGMELATI,20216405,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C105F3F825C870CAED2
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI KARANGGETAS I,20216648,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93C607C0B474DBB53BB0
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI MALANGSARI I,20215843,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33729AE7AE71F495961E
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI MALANGSARI II,20215842,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3328E55F2CDE03C4D3E7
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI MULYASARI,20215775,SD,Negeri,-,0,0,0,1,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CD87E0804A8AFBF4E3E
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI RANCASARI I,20216239,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DB755AF8938D4F497CC
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI RANCASARI II,20216215,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/854A6B204FAB16343B44
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI TEGALGIRANG I,20216647,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10F2A323688D0B07DFCB
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI TEGALGIRANG II,20216646,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/184B8509AA6DD0EBEE28
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI WANASARI I,20216238,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5D1BF491983A165FDCD
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NEGERI WANASARI II,20216240,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE9C3A3D4CE8C4DDB74C
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SD NU RASO - WANASARI,69754529,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3631484B1A874267A78C
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SMP NEGERI 1 BANGODUA,20216024,SMP,Negeri,-,0,0,0,0,0,21,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F8F703DD3B0EAAC70A7
Prov. Jawa Barat,Kab. Indramayu,Kec. Bangodua,SMP NEGERI SATU ATAP 1 BANGODUA,20241303,SMP,Negeri,-,0,0,0,1,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4267987CF1A77ACAFEF3
