provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI BONGAS 1,20216376,SD,Negeri,22 Aug 2019 23:04:03,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85509CD464CB56C08524
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI BONGAS II,20215855,SD,Negeri,-,0,0,0,0,0,12,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E31151422B72D72E568B
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPAAT 2,20216823,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02BBEC4957FC0AD1F2DA
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPAAT 3,20215740,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72A718F208883764741A
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPAAT 4,20216377,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EF570CF9F84F20EFFF6
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPAAT I,20216227,SD,Negeri,22 Aug 2019 09:42:43,1,167,6,8,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32FF79CB3C363BD43956
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPEDANG 4,20233701,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F48982A4E787244FA6E2
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPEDANG I,20215621,SD,Negeri,22 Aug 2019 08:49:07,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FDE5C1811C5E4BA28B2
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPEDANG II,20216797,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D60C12949C1D395ED73
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI CIPEDANG III,20216820,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F95D8CD29D36E1BAFE46
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI KERTA MULYA 2,20216375,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2F524069145C3D08A35
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI KERTAJAYA 3,20216600,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC958AD5AEABF239700C
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI KERTAJAYA II,20215811,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A8B0234C3BE03C807ED
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI KERTAMULYA 1,20216352,SD,Negeri,22 Aug 2019 13:31:31,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E60D796D60AC51433F9A
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI KERTAMULYA III,20216579,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B2740441C45E4D54909
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI MARGA MULYA 1,20216353,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C64800B866666ED1F1EC
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI MARGAMULYA II,20216354,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D8DE745DB004145544D
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI MARGAMULYA III,20215812,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E64C860B73DA404CB0B
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI MARGAMULYA IV,20215810,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DE0ABB23621B1ACE534
Prov. Jawa Barat,Kab. Indramayu,Kec. Bongas,SD NEGERI PLAWANGAN 1,20215833,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1DFF4D59A605CE13B5A
