provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD NEGERI INPRES LAPUA LEREH,60300100,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D85146300E17FDF104AF
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD NEGERI SOSKOTEK,60300148,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55987B85957B0626F9CE
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD PERSIAPAN MAMBRUK,60300215,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96C724D7010E31BBE17E
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD PERSIAPAN NURI,60300221,SD,Swasta,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7A7912683B0C588C3D8
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD PERSIAPAN RAJAWALI,60300214,SD,Swasta,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8EC9F1FD38C62FDC7B2
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD YPK YUO LIM SARI,60300259,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F177FA4F0EE347AF4EB
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SD YULIANA SINAR MAS,60300258,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8C0DA852BB9B159A809
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SMP NEGERI 1 KAUREH,60300156,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A29C2D21C74BA64A2E61
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SMP SATU ATAP SINAR MAS II,60303584,SMP,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1EB2BBFAEE28E9FC9D4
Prov. Papua,Kab. Jayapura,Kec. Kaureh,SMA NEGERI 1 KAUREH,69963590,SMA,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D679C40BB7977A062FDA
