provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 CANDI KUSUMA,50100914,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF6F27BD987DFC4FD35E
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 EKASARI,50100894,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E74ADD3326352CB237D0
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 GILIMANUK,50100874,SD,Negeri,23 Aug 2019 10:34:11,2,98,6,7,2,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFB2E9CD6B2D3DC5999F
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 MANISTUTU,50100869,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1627ED55BFE6895A2416
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 MELAYA,50100868,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31638629054AE60B533B
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 NUSASARI,50100865,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A76070439FFD1707E4D2
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 TUKADAYA,50100887,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAF96BC08327589B97D6
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 TUWED,50100886,SD,Negeri,23 Aug 2019 10:13:38,3,147,6,8,4,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC6D79DFB200D9BE9385
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 1 WARNA SARI,50100885,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1462FCC2D7098FB8688
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 2 CANDIKUSUMA,50100980,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99417D7072AEF367D1B8
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 2 EKASARI,50103363,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/747A1BE639D8D93DBE62
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 2 GILIMANUK,50100728,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06B3411CF9FD195CA6D1
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 2 MANISTUTU,50100972,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1053D311A2DEDB100BD4
Prov. Bali,Kab. Jembrana,Kec. Melaya,SD NEGERI 2 MELAYA,50100971,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C9D038B24637C651354
