provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 129 TOGO-TOGO,40314537,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63FC826AA18B32DB26D7
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 141 BUKIT JAYA,40301901,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1794E024DB948677092F
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 163 JENE TALLASA,40301992,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0EE1F3FBF7E0EE17A03
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 171 BONTOSUA,40301842,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8563B17E3ECF5F041C8
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 222 BONTO BURUNGENG,40302003,SD,Negeri,23 Aug 2019 15:41:33,4,93,6,9,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C780AB15E414E3170FF
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD INPRES 243 BONTO CINI,40302002,SD,Negeri,22 Aug 2019 04:38:42,4,54,5,12,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BABF704A842D7EF1A8FE
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 162 BUNGUNG BARU,40301920,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CEB18FA548AF0FE9DEE
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 27 BUNGENG,40301808,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3A35DD5C63B3B978B90
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 4 TOGO-TOGO,40301781,SD,Negeri,-,0,0,0,1,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87D602B5A4F5EE6BCB34
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 41 CAMBA-CAMBA,40301780,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85E958246B1EA53470F8
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 80 KALONGKO,40301914,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4469644D1A68F758CDC
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 87 PAMISORANG,40301911,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880BF1C6A7D2499D6422
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI 97 BATUCIDU,40301894,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/012DCB88B62189751795
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI INPRES 223 PARANGA,40302055,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4AC54359D0AB991740A
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI NO 89 KALUKU,40313621,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A61E115EBBD7A21497D
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SD NEGERI NO 91 PANRANG,40313728,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/826861A8BAF550507D7A
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SMP NEGERI 1 BATANG,40301872,SMP,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DDAD2034E8F0F6D7655
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SMP NEGERI 2 BATANG,40313622,SMP,Negeri,-,0,0,0,0,0,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D17165D2F3B2BB653E6
Prov. Sulawesi Selatan,Kab. Jeneponto,Kec. Batang,SMAN 5 JENEPONTO,40301860,SMA,Negeri,-,0,0,0,0,0,24,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF1D00856F38CD0585B4
