provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 001 SIMALINYANG,10494947,SD,Negeri,-,0,0,0,0,0,20,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/892E672E62FB49B8E499
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 002 PENGHIDUPAN,10494949,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F3BA7B98E1718E7F8F1
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 003 BINA BARU,10494950,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C563147BA93AB7F38CE0
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 004 HIDUP BARU,10494951,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C9D44C4A00FBA0AFF7B
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 005 KOTO DAMAI,10494952,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4E725A1514D0FD36080
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 006 KARYA BHAKTI,10494954,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A715C792F84518FE574
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 007 UTAMA KARYA,10494955,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/090DABB432AB48A7F296
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 008 LUBUK SAKAI,10464659,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9D7E1F5DC4349307E52
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 009 BINA BARU,10400117,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36DF90129AD89445FA61
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 010 BUKIT SAKAI,10494957,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85A5E6D79C58DFE39239
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 011 SIMALINYANG,10494958,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47D391D114B2C86C3B28
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 012 KARYA BHAKTI,10494961,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F76A644FC80AE6DBE7F3
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 013 BINA BARU ,10494963,SD,Negeri,-,0,0,0,0,0,16,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7275FC970033F24A44A
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 014 PENGHIDUPAN,10494962,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F32E6F379A950A1606A8
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 015 HIDUP BARU,10494948,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D2A5679DAD9D47C77FA
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 016 MEKAR JAYA,10495372,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/106CAB6E7D7A57C2F346
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 017 MAYANG PONGKAI,10494959,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D260ADE2AD6142A8ED0B
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SD NEGERI 018 MAYANG PONGKAI,10494960,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C40F3FDF035A5CA49EF8
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMP NEGERI 1 KAMPAR KIRI TENGAH,10400310,SMP,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50D29E90C72BFAB33D83
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMP NEGERI 2 KAMPAR KIRI TENGAH,10400320,SMP,Negeri,-,0,0,0,0,0,12,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95DE38EAE66D107729FF
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMP NEGERI 3 KAMPAR KIRI TENGAH,60726263,SMP,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D2B81F05B0981B67C50
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMP NEGERI 4 KAMPAR KIRI TENGAH,10494966,SMP,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49F5A5836622DB072884
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMP NEGERI 5 KAMPAR KIRI TENGAH,69952662,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F9FA63F7724285170B3
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMA NEGERI 1 KAMPAR KIRI TENGAH,10400344,SMA,Negeri,23 Aug 2019 18:26:52,3,340,18,33,6,20,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53B025C2097252469EC3
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMA NEGERI 2 KAMPAR KIRI TENGAH,69849416,SMA,Negeri,-,0,0,0,6,2,9,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AEEE35A4E8541752D2D
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Tengah,SMK SWASTA AMANAH,10494970,SMK,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AD60649513DCC73F288
