provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIHARJO,20312299,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0415B63DBE29F8525C4
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIKUWUNG,20312297,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FAACBF5A04477460390
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIMULYO,20312296,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7ACE72C7B28F711A7486
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIPURO,20312295,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0560706BD58421031B9
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIPURWO,20312294,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8F1856BD470A05FC19B
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIROYO,20312282,SD,Negeri,-,0,0,0,0,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B99384D97FDA272FBBD3
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATISOBO,20312270,SD,Negeri,23 Aug 2019 10:22:29,1,56,6,6,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00A5052D0E9C0003F174
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATISUKO,20312269,SD,Negeri,-,0,0,0,0,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2F9BE49D190517F2919
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 JATIWARNO,20312268,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C44654FF7EA52E34306
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 01 NGEPUNGSARI,20312573,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB1365636627C259C2FD
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIHARJO,20312559,SD,Negeri,-,0,0,0,1,0,6,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F7152EA6FB3F3A39521
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIKUWUNG,20312557,SD,Negeri,-,0,0,0,2,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CBF1870AC60956D2214
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIPURO,20312556,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77F4E138A0EDA60F61A8
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIPURWO,20312554,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C262067DDB6E13FA5C81
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIROYO,20312552,SD,Negeri,-,0,0,0,0,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FE636B476BA16937ED3
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATISOBO,20312560,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A39B289EDF6582F97834
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATISUKO,20312561,SD,Negeri,-,0,0,0,1,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D869B884EBD8C0D9ACEE
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 JATIWARNO,20312570,SD,Negeri,21 Aug 2019 08:17:52,1,75,6,7,2,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FAFF14A3F7325FF0391
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 02 NGEPUNGSARI,20311990,SD,Negeri,-,0,0,0,1,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC237BC8EC06948397AC
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATIMULYO,20311897,SD,Negeri,-,0,0,0,1,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A8B774825A3FD2E5C5F
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATIPURO,20311905,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF9970A29AD2C030D339
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATIPURWO,20311906,SD,Negeri,-,0,0,0,1,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D8C1F89E7378319CDB6
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATIROYO,20311913,SD,Negeri,22 Aug 2019 21:38:43,3,79,6,8,3,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E37D7B5F90A318598D7
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATISOBO,20311912,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B47A557435CE8D2678A
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATISUKO,20311911,SD,Negeri,-,0,0,0,0,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C421C096A35F2219A3F3
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 JATIWARNO,20311910,SD,Negeri,-,0,0,0,1,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED23616F7039FC2F49CB
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 03 NGEPUNGSARI,20311946,SD,Negeri,-,0,0,0,0,1,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DACAEF804024E61A06C
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SD N 04 JATISOBO,20312149,SD,Negeri,-,0,0,0,1,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFB4C49778BD8BC381B3
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SMP N 1 JATIPURO,20312057,SMP,Negeri,-,0,0,0,0,0,18,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6391EA83C24105D67C9E
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SMP N 2 JATIPURO,20312124,SMP,Negeri,-,0,0,0,0,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C15F72BDEF128A78545
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SMP N 3 JATIPURO,20312086,SMP,Negeri,-,0,0,0,0,0,12,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E728464482E657F7E551
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SMKN JATIPURO,20341520,SMK,Negeri,-,0,0,0,0,0,33,3,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B49397EB396CAFA28B8
Prov. Jawa Tengah,Kab. Karanganyar,Kec. Jatipuro,SMK PENDA 3 JATIPURO,20312069,SMK,Swasta,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36F2D62CCC9DEF83CA55
