provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 001 KUNDUR,11001007,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51194404DF8B7769B080
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 002 KUNDUR,11001014,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D369B507B5C485AE108B
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 003 KUNDUR,11001022,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B6A6E23C20DEDC09F18
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 004 KUNDUR,11001030,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/012728031B2B13F416A6
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 005 KUNDUR,11001036,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42934E5528482AFAAE32
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 006 KUNDUR,11001043,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8904FCDFEFF448BA3C3D
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 007 KUNDUR,11001057,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/999FC8AAC9276B65C900
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 008 KUNDUR,11001062,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BDFE622A5345EEE7892
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 009 KUNDUR,11001066,SD,Negeri,-,0,0,0,0,0,6,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9D9F2DE91F901A5D7EF
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 010 KUNDUR,11001071,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B00013DD5D6FD33D8ED
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 011 KUNDUR,11001079,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F90080462C043351CB87
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 012 KUNDUR,11001084,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/646D1D3145FCC27561D9
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 013 KUNDUR,11001086,SD,Negeri,26 Aug 2019 09:09:03,1,106,6,12,4,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED9AB3842636D8C4615B
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 014 KUNDUR,11001087,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9EA31E909C45F2AECD7
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 015 KUNDUR,11000188,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/141B51F0BB55C335CC1B
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 016 KUNDUR,11000189,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E430CA9387626AAE4A9A
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD NEGERI 017 KUNDUR,11001095,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EA1B246FA4E760A3F7E
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SD-SMP NEGERI 3 SATU ATAP KUNDUR,11002513,SMP,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5547529EBC96604F09BF
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMP NEGERI 1 KUNDUR,11000207,SMP,Negeri,-,0,0,0,0,0,26,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFE4C70F1245D8DF9D67
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMP NEGERI 2 KUNDUR,11000210,SMP,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F032E922ACB04E0D7FCE
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMAN 1 KUNDUR,11000241,SMA,Negeri,-,0,0,0,0,0,23,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F47B5EC57208E13825A
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMAN 3 KUNDUR,11002028,SMA,Negeri,24 Aug 2019 10:36:49,2,240,9,30,12,14,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03E537462F2E0FA3BF3A
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMAN 5 KUNDUR,11002031,SMA,Negeri,24 Aug 2019 11:27:04,4,127,6,16,8,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF716BDF2086F5DE554C
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SMKS BUDI MULIA KUNDUR,11000205,SMK,Swasta,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98A67376F04D512FCB05
Prov. Kepulauan Riau,Kab. Karimun,Kec. Kundur,SLB NEGERI KUNDUR,69972050,SLB,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F65C6ED400268098D39
