provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 040498 KUTABULUH,10202053,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E24DA338C326868286A
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 040499 KUTABULUH,10202054,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58C7116117C30B5BC723
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 040500 JINABUN,10202055,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BB700B4E94C30ED4F98
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 040501 BINTANG MERIAH,10202056,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CCADB2C0F7C375C82D3
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 040504 BINTANG MERIAH,10202058,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A642A7FEA9D17EF029A
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 043948 SIABANG ABANG,10202154,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49C966148D1CA8C71361
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 043949 LAUBULUH,10202155,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB18F046389E305DCE62
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 044845 PAYANDERKET,10201914,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDCAE3D9DD0190C98C5C
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 044846 BUAH RAYA,10201915,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E74C01DB96396F90555
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 044847 KUTA MALE,10201916,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C33FF4C390A1360C269
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 046414 TANJUNG MERAHE,10201920,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5125EF2B2BA33F743493
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 046575 KUTABULUH GUGUNG,10201862,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDCA8F7A5BCFC52D0EE4
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD NEGERI 047177 UJUNG DELENG,10201873,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CC5DFEB925CE0BFB18B
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SD SWASTA HARAPAN MBURIDI,10220420,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1481096EAA1D883B1C2B
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SMP NEGERI 1 KUTABULUH,10201947,SMP,Negeri,-,0,0,0,0,0,20,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F4B558A25C7F06994B9
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SMP NEGERI SATU ATAP 2 KUTABULUH,10259554,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F19F73687227CF06695D
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SMP NEGERI SATU ATAP 5 KUTABULUH,10261743,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38BEED12E0B21244DE0F
Prov. Sumatera Utara,Kab. Karo,Kec. Kutabuluh,SMA NEGERI 1 KUTABULUH,10261212,SMA,Negeri,-,0,0,0,0,0,7,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CC3983F88944494DEF6
