provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 101 KAUR,10702790,SD,Negeri,25 Aug 2019 14:41:02,2,65,6,7,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E73762B63AEA982BD963
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 116 KAUR,10702797,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8370A015509B3D2EDCCC
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 117 KAUR,10702761,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BDD48C2989A61F52FD5
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 12 KAUR,10701859,SD,Negeri,-,0,0,0,1,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E69278C362409A5AAE30
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 120 KAUR,10701872,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D23388EC19077776B16
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 124 KAUR,10702799,SD,Negeri,26 Aug 2019 09:04:12,3,117,6,7,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F94264BE29B3D92EE8FC
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 16 KAUR,10701814,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C484F875E307D8E015B1
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 24 KAUR,10702788,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF2898205E19FDB9FA7C
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 30 KAUR,10702793,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D56BCDEEC6B9F349CDC
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 55 KAUR,10702795,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9ACA6C1711F6318D722
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 85 KAUR,10701889,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A48B4913EF075ACD1AB
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 86 KAUR,10701903,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880A86EEF981750A8911
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 87 KAUR,10702802,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50C34195135B02C18FCB
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SDN 97 KAUR,10703066,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC0A12A45AD27708F2DD
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPN 16 KAUR,10703001,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FC2CF7AEA4740D72460
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPN 18 SATU ATAP KAUR,10701798,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4D1D129631FB49372F8
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPN 28 SATU ATAP KAUR,10703418,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C0DF9954F568977AFE2
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPN 33 KAUR,69766204,SMP,Negeri,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/676C2403192EABC59532
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPN 5 KAUR,10701791,SMP,Negeri,24 Aug 2019 12:20:46,16,245,8,11,5,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8AA47A21B33196E53C2A
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMPS AULIARAHMAN KAUR,69757933,SMP,Swasta,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61CA086463454DB8B1A9
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMAN 5 KAUR,10701817,SMA,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9DED0205F540F48943A
Prov. Bengkulu,Kab. Kaur,Kec. Maje,SMKN 7 TECHNOPRENEUR MERDEKA,69900679,SMK,Negeri,-,0,0,0,0,0,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE9E35A0FE67782A2E9B
