provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 1 PALANGGA,40401973,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC4B85E88F132262BC7D
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 10 PALANGGA,40402075,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3385F5A26DA7E43F262
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 11 PALANGGA,40402044,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C42CABC8057B0598155A
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 12 PALANGGA,40402106,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDE3202510A79A2A0330
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 13 PALANGGA,40401860,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C517773939A796A8110
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 14 PALANGGA,40402103,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5800369839A8807D6B48
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 15 PALANGGA,40401949,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AFE8825AC5272A252C4
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 16 PALANGGA,40402084,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70E7E0B0E1E463546F77
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 17 PALANGGA,69830493,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E90746D4073B9BF3E8B
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 2 PALANGGA,40401816,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F5E3A4AA2EFCF96F403
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 3 PALANGGA,40402144,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15667D7243E8DE8E470C
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 4 PALANGGA,40401835,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DB0030ECBA688672656
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 5 PALANGGA,40401952,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F859AD7DD245157E3A48
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 6 PALANGGA,40401831,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43671DCE03BB5DCE65F9
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 7 PALANGGA,40402048,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D105F818A39A9BB948E
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 8 PALANGGA,40401928,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5CE2C2347C87049FEC0
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SD NEGERI 9 PALANGGA,40401995,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A9C376FD5F59B68742C
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SDN SATU ATAP 20 KONAWE SELATAN,40401847,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20EEF4091A7325948625
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SMP NEGERI 17 KONAWE SELATAN,40401905,SMP,Negeri,-,0,0,0,0,0,16,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F57C16150A1EFFFCD4EC
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SMP NEGERI 6 KONAWE SELATAN,40403325,SMP,Negeri,-,0,0,0,0,0,13,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC1021D5C4D017180805
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SMP NEGERI SATU ATAP 20 KONAWE SELATAN,40404841,SMP,Negeri,23 Aug 2019 17:33:49,5,60,3,7,1,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B75103B378CC035F5D31
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SDLB Chinta Salsabila,69900225,SDLB,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20CF7FAB92C531027623
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SMAN 23 KONAWE SELATAN,69977465,SMA,Negeri,24 Aug 2019 09:32:51,5,86,3,16,4,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0D04F5007FABF9BA9A3
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Palangga,SMAN 4 KONAWE SELATAN,40403344,SMA,Negeri,-,0,0,0,0,0,17,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41048CE929804A241891
