provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 1 LEMBO,40403926,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0B020608E5D91F7E2CD
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 2 LEMBO,40403930,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8ACC0D2006EF7AB2DC89
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 3 LEMBO,40403934,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EFF6595E4B30D17A889
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 4 LEMBO,40403913,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E38978DED1514832BDD6
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 5 LEMBO,40403917,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DCFEA8884C9BA110D67
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 6 LEMBO,40405742,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D59A34F7023F03323C9
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 7 LEMBO,40405741,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A751EFC463841307C880
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SD NEGERI 8 LEMBO,69788522,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10C07B9EAA41F1BE86A7
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SMP NEGERI 1 LEMBO,40403961,SMP,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F437CE42671B7DF16E4A
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SMP NEGERI 2 LEMBO,69759865,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5223AC7BCD930521063
Prov. Sulawesi Tenggara,Kab. Konawe Utara,Kec. Lembo,SMAN 1 LEMBO,40403973,SMA,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34CD2B5EB221AD815492
